"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Prupe.1G000300",279.60693163076,-0.307277301551534,0.10271794926831,-2.99146647436363,0.0027764102224963,0.0138313914946776
"Prupe.1G000500",311.473340465134,-0.944847945117215,0.337654840609521,-2.79826565913172,0.00513778360315872,0.0225399884576807
"Prupe.1G002100",278.216123366391,-0.365042708581379,0.102278162233844,-3.56911681446488,0.000358186699235573,0.00266156689262825
"Prupe.1G002400",250.00008845898,-0.369858068952656,0.120627216637011,-3.06612453859086,0.00216852970776135,0.0113183229443075
"Prupe.1G002500",1378.86241250371,1.09514129353566,0.293852804902022,3.72683627743766,0.000193898319501305,0.0016024458734218
"Prupe.1G002600",7.5861066614075,5.30006473551337,0.89957796825419,5.89172358878375,3.82188085829182e-09,1.23043493543444e-07
"Prupe.1G003100",1084.99368617764,-0.760882366687536,0.163104008122544,-4.66501329701148,3.08597082794343e-06,4.65397164389201e-05
"Prupe.1G003500",14.1121773107754,-2.73480090044333,0.634612244676508,-4.30940455905856,1.63694682428902e-05,0.000194426740604679
"Prupe.1G003900",210.190014850003,-0.380222425507584,0.119775810366892,-3.17445087069671,0.00150120301925716,0.00840921691282796
"Prupe.1G004000",113.233323254762,-0.384423813134761,0.138834145787105,-2.76894283431004,0.00562385017344459,0.0241773020133138
"Prupe.1G004100",7.76268818601802,-2.71477183883963,0.589297323097798,-4.60679479175082,4.08923191740992e-06,5.90439028844154e-05
"Prupe.1G004800",1520.01352477342,0.457067080088111,0.15543442335026,2.94057822093979,0.00327600275793508,0.0157133027561189
"Prupe.1G004900",147.718587794462,1.02933957581736,0.283879552635244,3.6259729390935,0.000287875502457914,0.00223074334248903
"Prupe.1G005000",1176.0375262613,0.24739228650764,0.0862093156688418,2.86966999550205,0.00410900392392062,0.0188552179163295
"Prupe.1G005300",76.9533041598089,-0.48875617338344,0.154137043775347,-3.17091960123354,0.00151957194210676,0.00848498298510235
"Prupe.1G006000",42.3362429762455,-0.536673383622097,0.214791218283714,-2.49858158964961,0.0124691435472655,0.0459006837321246
"Prupe.1G006400",265.599072602196,0.624376086643451,0.198882280161784,3.13942542360004,0.00169279495927052,0.00925288187376331
"Prupe.1G006500",2657.43571145385,-0.302267617207697,0.0672877318261298,-4.49216534729913,7.05026508230186e-06,9.35127588802726e-05
"Prupe.1G007500",2.55875136787658,3.39025407972943,0.985309318259509,3.44080180396356,0.000579993206578103,0.0039277037360906
"Prupe.1G007700",2.76185754540161,4.53766370298038,1.16055400741778,3.90991170938836,9.23298623351604e-05,0.00085849212555156
"Prupe.1G007800",6.2891354915365,-1.86524144877487,0.639888779244965,-2.91494633016656,0.00355749714972868,0.0167801800715158
"Prupe.1G008300",133.524087008162,2.05885357464685,0.602910739432322,3.41485636262739,0.000638156544934426,0.00425238710010142
"Prupe.1G008400",11.7192486594749,1.57536395088995,0.419808501487881,3.75257753310513,0.000175025674571246,0.00147182590260452
"Prupe.1G008800",58.3432132329104,-1.35967353191222,0.402456257350662,-3.37843804656646,0.000728988563277382,0.00471264654544293
"Prupe.1G009200",56.6439951562631,0.923545621034731,0.256913563483113,3.59477175324547,0.000324676092732651,0.00245330473560767
"Prupe.1G010700",63.3251864418986,0.625476587474745,0.193212592354635,3.23724546030988,0.0012068955295,0.00708928882835386
"Prupe.1G010800",18.1130380315394,2.04394923784235,0.362217861640488,5.64287257559658,1.67236121279643e-08,4.63215412076672e-07
"Prupe.1G011000",15.3066710847142,-0.984087473055794,0.374908997827441,-2.62487024520212,0.0086681993356515,0.0345528165781952
"Prupe.1G011500",1088.75699288307,0.614254075892499,0.211846946959885,2.89951818851944,0.00373736660664983,0.0174523312367152
"Prupe.1G012100",19.5779181023221,0.914202794664244,0.292847408397256,3.12177184584848,0.00179766194703612,0.00972523085757602
"Prupe.1G012500",2.39321654594217,4.07479216026875,1.16783253906286,3.4891921777917,0.000484482700877731,0.00339735817897016
"Prupe.1G013800",25.2034133491559,-0.843903016835442,0.261647317123094,-3.22534557630653,0.00125820692801549,0.00732925581814067
"Prupe.1G013900",46.2738446240428,-0.83522168526971,0.293601734128644,-2.84474370612454,0.00444471702130424,0.0200776291230939
"Prupe.1G015800",70.7704795331044,1.44720196506144,0.308401962624388,4.69258351258949,2.69776350482447e-06,4.13676748081144e-05
"Prupe.1G016000",1110.72362274458,0.86750200099709,0.300755780256693,2.88440674442461,0.00392151885948186,0.0181590508772879
"Prupe.1G016400",70.4661791614538,1.98551086025699,0.318616882480173,6.2316561658673,4.61529587968945e-10,1.84814029102307e-08
"Prupe.1G016500",35.9702868540531,3.17196565885844,0.523715343073222,6.05665978820667,1.38977084835191e-09,4.96890349403099e-08
"Prupe.1G016600",111.557538382211,3.81034734255881,0.326954286289489,11.6540675633935,2.18761934098446e-31,1.0452345773981e-28
"Prupe.1G016700",12.4719579319431,3.7030385212131,0.74555277525311,4.96683621083155,6.80540187092426e-07,1.24951933216105e-05
"Prupe.1G017000",9.88229381827285,2.4835345570047,0.911520749427424,2.72460562040387,0.00643783353020514,0.0270956104715721
"Prupe.1G017800",3.52434960819532,-2.37177895322118,0.927943181532677,-2.5559527785998,0.010589748873209,0.0405073308881864
"Prupe.1G018200",119.967918019582,-0.708588077636066,0.221829116880522,-3.19429697778455,0.00140171839049845,0.00794508647167672
"Prupe.1G018900",646.402220607321,1.49816153283997,0.424094934724723,3.53260888110446,0.000411480743536685,0.00298160663999837
"Prupe.1G019100",340.822907419513,-0.813563796446058,0.320118975109643,-2.54144196284337,0.0110396272556636,0.0418927949089919
