"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Prupe.1G000300.v2.1",422.562357318089,-0.265328190449647,0.107021130184647,-2.479213123538,0.0131672603154769,0.0458144471649958
"Prupe.1G000500.v2.1",400.224596465539,-0.956220984392025,0.334564459916722,-2.85810687910498,0.00426176818692955,0.0187652180302866
"Prupe.1G002100.v2.1",274.449531236443,-0.370203965524301,0.110005288583098,-3.36532879730278,0.000764524955429036,0.0046509502592649
"Prupe.1G002400.v2.1",300.646669067775,-0.340989441962788,0.108114883772676,-3.15395466437127,0.00161074106089749,0.0085191801560749
"Prupe.1G002500.v2.1",1645.50400772509,1.10523205577294,0.284706877521908,3.88199984978547,0.000103600941433378,0.000874044035121532
"Prupe.1G003100.v2.1",1429.9862144398,-0.753126717108864,0.171088827344136,-4.40196317199598,1.07275769096866e-05,0.00012470083321233
"Prupe.1G003500.v2.1",16.8318536829624,-2.62488805404108,0.612569666867285,-4.28504412806612,1.82702920107285e-05,0.000198135466308985
"Prupe.1G003900.v2.1",269.53078440251,-0.34432747247341,0.108759222657876,-3.16596113928252,0.00154571442265288,0.00825238050127857
"Prupe.1G004000.v2.1",144.402217234397,-0.44402032070029,0.141150281122807,-3.14572749815477,0.00165674289650631,0.008721523820428
"Prupe.1G004100.v2.1",13.1279623853986,-2.80636956843832,0.440815722689807,-6.36631005653376,1.93629822171878e-10,7.25437164774604e-09
"Prupe.1G004800.v2.1",1949.17372708443,0.427112479813243,0.158331423080436,2.69758504978673,0.00698444408342497,0.0276205351257915
"Prupe.1G004900.v2.1",140.600816665614,0.986418176923009,0.253699728856895,3.88813256272504,0.000101018452805316,0.000854939719629405
"Prupe.1G006000.v2.1",47.1137184619379,-0.628591847347852,0.228048960818396,-2.75638987826138,0.00584432884287136,0.024095531396846
"Prupe.1G006400.v2.1",299.981864646297,0.616279180387988,0.173280249269949,3.55654601712802,0.000375762684984755,0.0025866762293845
"Prupe.1G006500.v2.1",3204.83733772389,-0.319339502164491,0.0668003155828674,-4.78050888499684,1.74852030485016e-06,2.55621544227075e-05
"Prupe.1G006700.v2.1",3911.06823052159,-0.313671190485946,0.100940928219888,-3.10747281620643,0.00188694338410722,0.00967080969380974
"Prupe.1G007500.v2.1",3.15037951967764,4.17066129336708,0.977894823893589,4.26493851021847,1.99957262639381e-05,0.000214254157103133
"Prupe.1G007700.v2.1",4.45864707609427,4.65306285153545,0.958912557922892,4.85243707894961,1.21953482046108e-06,1.85212544590505e-05
"Prupe.1G007800.v2.1",9.93103882480363,-1.87392154456131,0.551297224415714,-3.399112967687,0.000676047867265551,0.00420063836623683
"Prupe.1G008400.v2.1",16.5358225661705,1.41890942847613,0.368319976370503,3.85238249214269,0.000116974114969295,0.000966320583172072
"Prupe.1G008800.v2.1",88.7462293204168,-1.41593655590176,0.380376752993456,-3.72245818062946,0.000197292593277446,0.00150773888359327
