"","logFC","logCPM","F","PValue","FDR"
"Prupe.1G509300.v2.1",-2.52173793571381,4.37789863772798,311.109467815548,1.70525758021956e-10,1.90939112305167e-07
"Prupe.2G107700.v2.1",-8.12886218342612,5.87019338493544,302.530978400254,2.03282391465096e-10,2.18512308233661e-07
"Prupe.4G117000.v2.1",6.5099386041467,2.48618282670716,300.348806825627,2.12737069301924e-10,2.19880125513485e-07
"Prupe.4G104900.v2.1",3.63998231192648,3.66742328959484,273.805770146281,3.799143486096e-10,3.78127344080955e-07
"Prupe.5G169000.v2.1",-5.67447280720447,2.17992617030206,268.76135173435,4.26759209149006e-10,4.0167904914023e-07
"Prupe.2G074300.v2.1",5.52547793988024,4.29560197660325,267.932905643982,4.35073548427035e-10,4.0167904914023e-07
"Prupe.8G173600.v2.1",-3.69637498379653,4.59635199978961,266.640576537371,4.48419286056893e-10,4.0167904914023e-07
"Prupe.8G172000.v2.1",5.34931904463264,3.6769749434435,258.502147206459,5.44179140619306e-10,4.71733098253633e-07
"Prupe.7G045400.v2.1",3.37129192107993,3.37020265136344,255.092150302325,5.91174995487335e-10,4.96457676679099e-07
"Prupe.1G300300.v2.1",8.63257605555167,2.23658828113116,246.118807173658,7.38959215925674e-10,6.01759121502141e-07
"Prupe.2G103400.v2.1",5.29564887330718,4.20876993069414,241.233566640925,8.37148235351809e-10,6.61667192017917e-07
"Prupe.4G116900.v2.1",7.28806276912466,3.20280572860918,238.060705512481,9.08981202472876e-10,6.97915767258674e-07
"Prupe.2G087400.v2.1",8.01567998219635,4.55155996690859,234.784548326048,9.90718770185486e-10,7.39544041977627e-07
"Prupe.3G153800.v2.1",-6.0118841185441,3.02895831215703,227.088891128595,1.21837457840438e-09,8.84902163390835e-07
"Prupe.1G119700.v2.1",-7.54279108765317,6.07142185882875,225.739594983465,1.26423646591096e-09,8.94048067063822e-07
"Prupe.5G168900.v2.1",-4.1529579542768,1.89923501679063,224.609034368154,1.30420114197185e-09,8.98661468928448e-07
"Prupe.8G046700.v2.1",-8.88143952602778,6.71017048931944,219.592194998659,1.50007177552975e-09,1.00778572059528e-06
"Prupe.3G304400.v2.1",6.52712907928879,2.58750750708586,215.188383096176,1.70038970173795e-09,1.1067835717704e-06
"Prupe.8G026600.v2.1",3.53042315027049,2.6480819353963,214.592447959909,1.72979979958906e-09,1.1067835717704e-06
"Prupe.2G125400.v2.1",6.23450641333722,2.23233677544757,211.490626373481,1.89268388521925e-09,1.18264586429215e-06
"Prupe.3G142800.v2.1",7.21305427567398,0.871680852541322,210.710624365676,1.93638291329046e-09,1.18264586429215e-06
"Prupe.7G138600.v2.1",5.86686729358895,2.62102532849043,202.312770693745,2.48871036577302e-09,1.48620252576485e-06
"Prupe.4G075700.v2.1",4.99670545948588,3.27648630442243,201.441978291178,2.5557501845386e-09,1.49305814585012e-06
"Prupe.8G176500.v2.1",-1.84655554900226,3.62733264793305,200.366162705683,2.64146951881154e-09,1.51030234848984e-06
"Prupe.8G139500.v2.1",2.26981654648041,3.92473355202924,193.584198214527,3.26489854945505e-09,1.80984381508197e-06
"Prupe.4G198300.v2.1",6.07931568032954,3.16289827086768,193.247211934838,3.30005384359828e-09,1.80984381508197e-06
"Prupe.7G025500.v2.1",-2.06146659112339,3.16251834451179,190.219728807751,3.63625417280958e-09,1.95434116771824e-06
"Prupe.2G219000.v2.1",3.17353925606328,3.403712388772,182.287916285511,4.72175107457359e-09,2.48799248288267e-06
"Prupe.4G233500.v2.1",8.43720830149976,2.03704125535304,179.019625743305,5.27475620656126e-09,2.72593314497924e-06
"Prupe.6G118800.v2.1",2.56924473129122,8.62748240169315,176.549448186769,5.74255111752447e-09,2.88288744513815e-06
"Prupe.1G182900.v2.1",-5.34094997056655,3.93708120114878,176.296875823829,5.79302355663528e-09,2.88288744513815e-06
"Prupe.4G146200.v2.1",-2.88427795314301,3.68727739703687,171.459586804842,6.86580686398731e-09,3.3546332337442e-06
"Prupe.3G251500.v2.1",11.3389373512406,3.71475660866276,602.651646831048,7.21517378733011e-09,3.46238152119504e-06
"Prupe.2G054800.v2.1",-3.78590234035211,1.13394625574298,166.462904561394,8.22204190862235e-09,3.87633214404226e-06
"Prupe.8G088500.v2.1",-5.97161448453439,1.04975231496109,164.053547593094,8.98495511780754e-09,4.16297756691107e-06
"Prupe.1G266400.v2.1",2.55527362982675,4.29899435936347,162.406545898335,9.55351660584800e-09,4.35138392794836e-06
"Prupe.4G104500.v2.1",2.6809626215165,3.25531070542954,161.709215590019,9.80666772750088e-09,4.39224303068552e-06
"Prupe.8G031700.v2.1",-3.12442797166206,2.92203451247154,158.694681069687,1.09939231585903e-08,4.78140421111829e-06
"Prupe.3G216700.v2.1",3.09118015807066,3.79060547557283,158.605697598881,1.10314092616877e-08,4.78140421111829e-06
"Prupe.4G043200.v2.1",3.957157183993,5.36422414205718,156.000284962752,1.21972059015219e-08,5.20278593954917e-06
"Prupe.2G255600.v2.1",6.53251550598102,1.5946171584396,155.455177637915,1.2458738039374e-08,5.23130730206403e-06
"Prupe.4G116800.v2.1",5.17775670146179,1.20862500384879,154.123991178897,1.31250537112808e-08,5.42630105204999e-06
"Prupe.2G199900.v2.1",-5.24274992441555,0.685820912122177,152.909207864963,1.37691858519938e-08,5.60635350607012e-06
"Prupe.4G227100.v2.1",7.53120564014208,2.39007131111779,151.455676410631,1.45883795520655e-08,5.64953516038787e-06
"Prupe.6G263200.v2.1",5.26667954902392,1.69784797325172,151.43111830233,1.46026953200929e-08,5.64953516038787e-06
"Prupe.8G179400.v2.1",-2.6566058563822,3.27957843302813,151.024844202136,1.48418932964439e-08,5.64953516038787e-06
"Prupe.8G077200.v2.1",-6.74402432491283,2.07145504266363,150.946561981909,1.48885002221031e-08,5.64953516038787e-06
"Prupe.1G116700.v2.1",7.52773293645077,2.53037621367784,150.594136713578,1.51004250549918e-08,5.64953516038787e-06
"Prupe.6G203500.v2.1",2.45517119638178,3.38574576431762,150.519005621254,1.51460524487961e-08,5.64953516038787e-06
"Prupe.4G281600.v2.1",-4.49368346998737,3.59027512269311,150.191431496196,1.53468562017011e-08,5.64953516038787e-06
"Prupe.4G104300.v2.1",3.36421695721398,0.74197887038301,149.650341750135,1.56853080770169e-08,5.69609843180642e-06
"Prupe.7G060800.v2.1",8.01857618003274,2.47032163745364,147.549271313846,1.70837201470356e-08,6.1212108201505e-06
"Prupe.3G196100.v2.1",1.42248733187281,4.69370602897599,143.521065886719,2.01872166431112e-08,7.13804043224116e-06
"Prupe.6G133900.v2.1",-4.59027617650866,1.8267768976213,142.852820333315,2.07627005424399e-08,7.19538149520236e-06
"Prupe.7G066100.v2.1",-3.02181458886343,1.24229938526457,142.713678878629,2.08848940060947e-08,7.19538149520236e-06
"Prupe.8G118900.v2.1",3.04828085957443,4.21278656430485,142.213621140928,2.13309401189883e-08,7.25602979515913e-06
"Prupe.6G272600.v2.1",1.97802012511102,3.14736764269877,139.68830881522,2.37583938063819e-08,7.98074145948626e-06
"Prupe.1G091000.v2.1",5.7223013073797,1.49751672577541,138.669761784541,2.48265764257149e-08,8.23659985541032e-06
"Prupe.7G258600.v2.1",3.57621935553422,4.4521147012814,138.025223459602,2.55311270605717e-08,8.36704850608222e-06
"Prupe.4G028700.v2.1",2.61769654108908,4.16555434629872,137.353670397991,2.62898532963271e-08,8.51189430882165e-06
"Prupe.2G029300.v2.1",-2.99961812634169,3.59447724832263,135.196997408649,2.89082794078512e-08,9.24488348854382e-06
"Prupe.I001800.v2.1",-3.50687922344381,3.32830753167364,134.938541286547,2.92418076331718e-08,9.24488348854382e-06
"Prupe.6G205100.v2.1",-1.81781601175095,5.20792533428802,132.308301348544,3.29009531140672e-08,1.02399769844332e-05
"Prupe.2G073400.v2.1",-2.56016448666849,2.97735654450918,132.140737022795,3.31514158317155e-08,1.02399769844332e-05
"Prupe.6G030900.v2.1",4.26099856425577,0.854206620657814,131.220870029383,3.45661656526983e-08,1.05556428361927e-05
"Prupe.8G179500.v2.1",-2.8082257232217,4.95667433254408,130.481019577752,3.57547155763764e-08,1.07959154121794e-05
"Prupe.8G046400.v2.1",-6.4925307150719,0.455909356270522,129.958310470719,3.66228682882543e-08,1.0935181550114e-05
"Prupe.1G070300.v2.1",-1.75922286437118,2.7851936605706,127.778328535824,4.05156578674891e-08,1.19645854271762e-05
"Prupe.6G027900.v2.1",-3.58881188269049,2.00651231004942,126.709031442755,4.25983101221793e-08,1.24428737816666e-05
"Prupe.5G038400.v2.1",-3.25978077738489,2.30843967945492,125.674022436388,4.47326016162975e-08,1.29257978842448e-05
"Prupe.1G208800.v2.1",-1.64265532745792,5.48216170460189,124.19164410069,4.80078979203648e-08,1.3724640859723e-05
"Prupe.3G145500.v2.1",-9.30677780527441,1.82781892285115,372.435684006667,4.88025761143236e-08,1.38049645044234e-05
"Prupe.6G133800.v2.1",-3.31503689450795,1.43261613677099,122.984166254201,5.08812724596341e-08,1.38766380738209e-05
"Prupe.8G238600.v2.1",2.21778523390725,3.5056511895102,122.889550613639,5.11146819667233e-08,1.38766380738209e-05
"Prupe.1G477000.v2.1",-5.10379003486803,4.05690923871297,122.86434572657,5.11770685953851e-08,1.38766380738209e-05
"Prupe.8G120500.v2.1",8.69205499696992,2.88436360243723,122.714918623853,5.15487359622375e-08,1.38766380738209e-05
"Prupe.2G027000.v2.1",-1.69186236459517,4.78728087784746,122.679277376545,5.16378449515159e-08,1.38766380738209e-05
"Prupe.1G198000.v2.1",6.66027006449004,2.53761263516265,122.290805703549,5.26206966234058e-08,1.39319618754277e-05
"Prupe.2G043900.v2.1",2.73426689450511,4.0017650915174,122.189480273454,5.28805906037147e-08,1.39319618754277e-05
"Prupe.5G101900.v2.1",4.51355843089591,0.365700942770907,121.063677497547,5.58700811867932e-08,1.45766669100261e-05
"Prupe.2G013700.v2.1",-1.95376717029185,5.56025445849491,119.322618294727,6.08856826746502e-08,1.57325091395757e-05
"Prupe.I002200.v2.1",-2.35089174180798,4.07915616244507,118.951712322701,6.20201674684295e-08,1.58730281940867e-05
"Prupe.4G034600.v2.1",1.60014787778464,4.61961871457174,117.541461569368,6.65620260980963e-08,1.68747295031523e-05
"Prupe.6G290800.v2.1",1.81329433893697,5.41416027321943,116.954614919066,6.85642271338859e-08,1.7219873605317e-05
"Prupe.2G097700.v2.1",7.96121503766842,2.71000913724644,116.35061411631,7.06978434379392e-08,1.75913254324791e-05
"Prupe.3G126000.v2.1",1.73194213237307,3.47616073162101,114.814853663766,7.64767144033052e-08,1.88546673959635e-05
"Prupe.8G014700.v2.1",-2.44825406585332,2.00967884482853,113.832768116823,8.04576657505907e-08,1.96558077428693e-05
"Prupe.6G272400.v2.1",-5.75972722924329,0.438303719314348,111.675824601933,9.00698547370745e-08,2.18058306878325e-05
"Prupe.2G067100.v2.1",4.10266064282931,2.92506098720627,110.0254194787,9.83245768654278e-08,2.35917531616486e-05
"Prupe.3G049700.v2.1",-3.2432434859732,5.786992981561,109.558411852944,1.00816509352328e-07,2.38109395486208e-05
"Prupe.I002100.v2.1",-2.76279199189014,4.13272706473805,109.52267142128,1.01010200146719e-07,2.38109395486208e-05
"Prupe.3G234300.v2.1",-4.20890497542979,1.62957592999874,109.320409345725,1.02114454046772e-07,2.38619280312948e-05
"Prupe.8G095600.v2.1",1.59996519260525,5.2011840844539,107.829825185878,1.10695740198343e-07,2.52793908990541e-05
"Prupe.2G113200.v2.1",5.49177358570054,1.6673606278982,107.432444935,1.1312196151698e-07,2.52793908990541e-05
"Prupe.1G020100.v2.1",4.27054749635184,3.16253020617115,107.418449232124,1.13208524313798e-07,2.52793908990541e-05
"Prupe.7G120900.v2.1",2.64393240168984,1.51680763154561,107.418060413114,1.13210930232301e-07,2.52793908990541e-05
"Prupe.1G028400.v2.1",-3.28456935518699,8.25574631038038,107.326994764335,1.1377605018419e-07,2.52793908990541e-05
"Prupe.1G515600.v2.1",5.87478286957069,1.24064382718386,107.182525712844,1.14679259572158e-07,2.52793908990541e-05
"Prupe.4G248200.v2.1",1.75227245468043,3.94615592862684,107.16884509465,1.14765217492822e-07,2.52793908990541e-05
"Prupe.1G048100.v2.1",-1.51401055044087,4.5189695598018,106.891401259847,1.16524585373812e-07,2.52847026852363e-05
"Prupe.3G186500.v2.1",2.35180559689625,9.12751089174556,106.868510925302,1.16671124659298e-07,2.52847026852363e-05
"Prupe.2G025400.v2.1",-2.29112670588179,3.64681400904818,106.155259906104,1.21345494657078e-07,2.60873398233572e-05
"Prupe.3G129700.v2.1",8.81685206846416,2.41906565071659,105.020893423904,1.29231939564044e-07,2.75623008881315e-05
"Prupe.4G105100.v2.1",2.7214673717892,3.42953129698311,104.56491879244,1.32567422540298e-07,2.80510578419325e-05
