"","logFC","logCPM","F","PValue","FDR"
"Prupe.1G072800.v2.1",-3.66829954507078,1.70954805669185,136.44153471806,2.73624168544414e-08,9.30772440670132e-06
"Prupe.5G075600.v2.1",2.66594272681209,5.95838473418434,135.762687684404,2.81934682366125e-08,9.47053839903108e-06
"Prupe.3G292900.v2.1",-3.59677341780663,2.84232618662265,134.680662657414,2.95790208880964e-08,9.81329664599772e-06
"Prupe.1G266400.v2.1",2.30551226039162,4.29899435936347,134.071818303565,3.03931174602767e-08,9.96041762817093e-06
"Prupe.4G044100.v2.1",2.75647918258638,8.28836161414775,133.249410442033,3.15341417595424e-08,1.01391539386432e-05
"Prupe.8G110300.v2.1",1.5827583670084,3.50114187405496,133.13756011179,3.16931094721851e-08,1.01391539386432e-05
"Prupe.1G257100.v2.1",3.79235279279988,2.4978685962944,132.718768031695,3.2296582951058e-08,1.0175685201574e-05
"Prupe.2G324700.v2.1",-4.92767360937511,3.92048112731924,132.535645763764,3.25646160583247e-08,1.0175685201574e-05
"Prupe.1G081600.v2.1",6.12561640500005,3.88524059948527,132.166679297021,3.31124957784667e-08,1.02279551615487e-05
"Prupe.2G197400.v2.1",-1.31784641798286,6.88144537087155,131.552047615385,3.40489426681995e-08,1.0336313652165e-05
"Prupe.4G105100.v2.1",3.08083493347289,3.42953129698311,131.433809449772,3.42325722860374e-08,1.0336313652165e-05
"Prupe.6G032400.v2.1",3.66659512629308,6.81681100398704,129.066937275639,3.81600247679826e-08,1.13941593954444e-05
"Prupe.3G240000.v2.1",4.33975221934699,4.15791188674387,127.676091257037,4.07096248873819e-08,1.18028541446249e-05
"Prupe.2G195800.v2.1",4.717041756937,2.01911399409142,127.465486674486,4.11125738110365e-08,1.18028541446249e-05
"Prupe.6G265500.v2.1",-1.93945587400683,4.03144681637439,127.430650291621,4.11796685114373e-08,1.18028541446249e-05
"Prupe.2G139300.v2.1",-4.80544577780519,7.25348161855542,127.375775464007,4.12856134259197e-08,1.18028541446249e-05
"Prupe.4G116000.v2.1",3.33694732769251,3.72008698439784,126.422043808941,4.31781089009353e-08,1.22139507420509e-05
"Prupe.4G177600.v2.1",2.97207332767707,4.06504682796474,125.315098517023,4.55013484084582e-08,1.27370597477135e-05
"Prupe.6G315800.v2.1",-1.35409721728397,5.95974285820367,124.631326129688,4.70084138853604e-08,1.30232691375391e-05
"Prupe.4G175900.v2.1",-1.08738286287426,7.29970167453711,123.440690536791,4.97721918359723e-08,1.36482460327355e-05
"Prupe.4G042400.v2.1",1.8127873981914,2.80019860698634,123.227487938924,5.02866397275727e-08,1.36500289838289e-05
"Prupe.3G265400.v2.1",-4.44742313743269,3.51885757360933,122.638401190904,5.17402609099667e-08,1.3818407455102e-05
"Prupe.1G470100.v2.1",-2.78458814149675,4.83824411477481,122.560787613707,5.19353683237935e-08,1.3818407455102e-05
"Prupe.3G286400.v2.1",-1.48444158004647,6.79717044056003,122.13507558341,5.30207461539288e-08,1.3968887366613e-05
"Prupe.1G226500.v2.1",-3.63421075456265,4.94142269754717,120.969990336506,5.61275256059578e-08,1.46438349088243e-05
"Prupe.1G531700.v2.1",-4.19591986049355,6.93338807758755,120.310543030558,5.79788348985717e-08,1.49813964445127e-05
"Prupe.5G142600.v2.1",1.48826752487381,6.222076325205,119.977304038648,5.89410865987308e-08,1.50849887635018e-05
"Prupe.1G423400.v2.1",1.55059705817918,4.8834637365615,119.744079328522,5.96254986758369e-08,1.51161889237336e-05
"Prupe.8G214000.v2.1",-3.10279251069017,2.46843422208307,119.437803308863,6.05382508957162e-08,1.52041534235568e-05
"Prupe.2G222900.v2.1",4.77196676825647,2.19691597486627,118.509975054453,6.34032469643212e-08,1.57762542191871e-05
"Prupe.1G523700.v2.1",5.50028865520981,3.17325302866641,116.587340958954,6.98526152293001e-08,1.68540995226509e-05
"Prupe.1G372200.v2.1",-1.23961423786162,5.36307688912588,116.534408684186,7.00405926941462e-08,1.68540995226509e-05
"Prupe.1G192200.v2.1",5.8190619134627,3.32799502883951,116.436526248202,7.03897397751602e-08,1.68540995226509e-05
"Prupe.8G114100.v2.1",-1.74471354936322,5.75558961812597,116.313811879346,7.0830301588972e-08,1.68540995226509e-05
"Prupe.3G050200.v2.1",2.55721618314943,7.95834574884141,116.302552525928,7.08708832679476e-08,1.68540995226509e-05
"Prupe.8G046000.v2.1",2.27778034242922,4.32482397867816,115.651548478568,7.32635236923303e-08,1.72702690542455e-05
"Prupe.1G072600.v2.1",-1.62359501677287,8.55795446604726,115.306224197275,7.45704428486064e-08,1.74254913971356e-05
"Prupe.1G531400.v2.1",-2.20373185317584,4.91404476041152,115.068773064822,7.54847074453801e-08,1.74870736481009e-05
"Prupe.8G148400.v2.1",2.57513703895104,4.48858067029582,114.45907143452,7.78920757176004e-08,1.78675035919569e-05
"Prupe.5G072800.v2.1",3.64034552078129,3.15298565731797,114.161898721153,7.90974656671033e-08,1.78675035919569e-05
"Prupe.4G220300.v2.1",5.02210522109833,2.77311269125707,114.156018786083,7.91215319258314e-08,1.78675035919569e-05
"Prupe.1G554000.v2.1",-4.67671002270652,1.14134346066135,113.859206548213,8.03474125368385e-08,1.79931334758538e-05
"Prupe.7G087400.v2.1",-5.87002457203202,2.75765134721794,112.391630872062,8.6740146858563e-08,1.91580179147342e-05
"Prupe.7G220100.v2.1",-1.96198949981775,5.57754748774241,112.340120087655,8.69749631822862e-08,1.91580179147342e-05
"Prupe.6G302700.v2.1",1.90719528690972,3.62344478610493,112.122804869603,8.79737171361593e-08,1.92204691105692e-05
"Prupe.1G322500.v2.1",2.67639687052418,5.0964106018259,111.943005783192,8.88100584501288e-08,1.92467153284703e-05
"Prupe.3G013600.v2.1",-5.99770278561572,2.521406193764,111.574433691866,9.05533120380642e-08,1.94675132351912e-05
"Prupe.5G176400.v2.1",2.82832266673987,7.55323799135829,111.250179993308,9.21196431783942e-08,1.96470727867697e-05
"Prupe.6G054800.v2.1",4.97923254512386,10.2065849341988,110.827247924102,9.42098322270636e-08,1.99346521373061e-05
"Prupe.8G016400.v2.1",-1.08483914792075,5.96129435106734,110.08388863308,9.80176195501495e-08,2.0410698987249e-05
"Prupe.3G289800.v2.1",-1.2859732873416,5.81400323510036,110.031891122116,9.82905468715177e-08,2.0410698987249e-05
"Prupe.6G257300.v2.1",2.85221686138471,6.68787808368086,109.943048500095,9.87588992540256e-08,2.0410698987249e-05
"Prupe.1G470600.v2.1",-3.28562335222291,4.05429782351533,109.803887993577,9.94976953570356e-08,2.0410698987249e-05
"Prupe.2G255400.v2.1",-1.45087126140126,6.64871800364991,109.43179955079,1.01504604517882e-07,2.06646457364322e-05
"Prupe.2G044800.v2.1",2.19469953139333,6.38860684402352,108.241505673513,1.08245265729249e-07,2.18712407965572e-05
"Prupe.2G052500.v2.1",-1.33336046298506,6.9749565807405,107.789533512238,1.10938989555325e-07,2.22482348232855e-05
"Prupe.4G143700.v2.1",1.72799072669009,8.40968406834741,107.511763065643,1.12632822065019e-07,2.24206061285427e-05
"Prupe.1G175600.v2.1",-2.75796963239417,4.71381542288325,107.372051466582,1.13496039268055e-07,2.24263166415473e-05
"Prupe.3G082000.v2.1",4.80626017568475,2.90980585884997,106.572816960816,1.18583330441903e-07,2.3260509773469e-05
"Prupe.8G162800.v2.1",4.95938782971407,3.18597813626363,106.225542411062,1.20875421139432e-07,2.35382984947822e-05
"Prupe.8G249800.v2.1",1.82475797396473,8.04200711683374,105.855223781118,1.23376094472604e-07,2.38524157321027e-05
"Prupe.3G161500.v2.1",3.9684878687232,4.82313269495352,105.6122633413,1.25049161474288e-07,2.40031865449896e-05
"Prupe.8G248500.v2.1",-2.90538682411087,2.74029678605901,105.317451036889,1.27114541523174e-07,2.42265891798032e-05
