gene	Badami_LB_400CH_Clone14	Badami_LB_400CH_Clone15	Badami_LB_400CH_Clone16	Badami_LB_800CH_Clone14	Badami_LB_800CH_Clone15	Badami_LB_800CH_Clone16	Bergeron_LB_400CH_Clone10	Bergeron_LB_400CH_Clone8	Bergeron_LB_400CH_Clone9	Bergeron_LB_800CH_Clone10	Bergeron_LB_800CH_Clone8	Bergeron_LB_800CH_Clone9
Prupe.1G007400.v2.1	3	9	8	7	4	5	3	8	9	1	18	46
Prupe.1G007500.v2.1	1	0	0	0	1	0	4	3	4	3	8	12
Prupe.1G007600.v2.1	0	0	0	0	0	0	0	0	0	0	0	1
Prupe.1G007700.v2.1	0	1	0	0	0	1	3	7	3	4	11	24
Prupe.1G007800.v2.1	10	19	20	21	14	22	1	2	1	1	7	17
Prupe.1G007900.v2.1	1	0	2	0	0	0	0	1	0	0	1	3
Prupe.1G008000.v2.1	428	639	664	444	517	628	471	582	519	301	420	395
Prupe.1G008100.v2.1	27	44	32	14	12	19	29	30	18	4	21	21
Prupe.1G008200.v2.1	53	80	62	39	44	47	60	46	38	16	29	32
Prupe.1G008300.v2.1	14	28	61	262	194	237	94	152	458	98	476	534
Prupe.1G008400.v2.1	12	11	12	8	6	12	18	25	12	9	34	41
Prupe.1G008500.v2.1	866	1288	1150	1672	1773	1898	925	857	912	1316	1510	1663
Prupe.1G008600.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G008700.v2.1	371	567	485	513	474	621	324	451	340	278	347	300
Prupe.1G008800.v2.1	116	142	124	149	122	182	97	89	50	5	33	33
Prupe.1G008900.v2.1	0	0	0	3	1	5	0	5	0	4	12	12
Prupe.1G009000.v2.1	561	1094	1056	860	946	1382	673	815	739	418	878	1120
Prupe.1G009100.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G009200.v2.1	22	39	43	19	47	37	53	47	38	57	70	67
Prupe.1G009300.v2.1	1	6	10	6	6	7	4	7	12	2	11	5
Prupe.1G009400.v2.1	37	70	78	40	61	68	51	81	56	46	39	62
Prupe.1G009500.v2.1	149	351	251	200	239	281	137	238	180	72	168	199
Prupe.1G009600.v2.1	12	26	25	10	19	30	12	25	10	7	11	11
Prupe.1G009700.v2.1	11	23	12	11	30	26	14	29	32	4	17	19
Prupe.1G009800.v2.1	71	81	82	145	150	188	94	104	102	26	128	289
Prupe.1G009900.v2.1	5	5	9	5	14	7	9	19	14	10	18	13
Prupe.1G010000.v2.1	4	1	5	3	2	5	2	1	5	1	2	1
Prupe.1G010100.v2.1	0	0	0	0	0	0	1	1	1	0	0	1
Prupe.1G010200.v2.1	35	40	45	39	55	65	29	30	24	22	61	57
Prupe.1G010300.v2.1	171	399	388	297	363	399	269	368	290	177	314	337
Prupe.1G010400.v2.1	11865	25883	25569	19311	28360	34334	13339	21590	17720	7130	21920	30348
Prupe.1G010500.v2.1	1671	2486	2077	1931	2087	2355	2089	2084	2074	1362	1822	2258
Prupe.1G010600.v2.1	151	304	251	153	196	301	135	229	142	66	134	168
Prupe.1G010700.v2.1	37	58	86	70	80	98	51	163	106	62	135	94
Prupe.1G010800.v2.1	22	36	31	39	22	31	34	69	61	18	56	49
Prupe.1G010900.v2.1	30	96	105	38	95	76	61	92	77	33	77	98
Prupe.1G011000.v2.1	17	68	63	39	59	62	15	26	22	3	12	9
Prupe.1G011100.v2.1	22	62	70	43	51	66	40	75	71	28	80	59
Prupe.1G011200.v2.1	5174	5801	4749	7043	6901	7030	4437	5668	4962	5551	5527	5174
Prupe.1G011300.v2.1	187	542	547	342	489	603	219	397	361	221	555	588
Prupe.1G011400.v2.1	307	492	440	816	900	957	254	398	274	754	687	836
Prupe.1G011500.v2.1	809	1025	794	1127	1158	1530	817	1365	1000	762	1897	3173
Prupe.1G011600.v2.1	1302	3474	3088	2818	4039	4235	1178	2382	2217	504	6129	5802
Prupe.1G011700.v2.1	118	184	178	102	154	198	91	173	129	13	90	199
Prupe.1G011800.v2.1	268	504	449	347	413	504	400	424	385	162	289	292
Prupe.1G011900.v2.1	1	0	1	4	1	2	5	0	0	9	1	2
Prupe.1G012000.v2.1	0	0	0	3	0	0	2	1	0	0	1	1
