gene	Badami_LB_400CH_Clone14	Badami_LB_400CH_Clone15	Badami_LB_400CH_Clone16	Badami_LB_800CH_Clone14	Badami_LB_800CH_Clone15	Badami_LB_800CH_Clone16	Bergeron_LB_400CH_Clone10	Bergeron_LB_400CH_Clone8	Bergeron_LB_400CH_Clone9	Bergeron_LB_800CH_Clone10	Bergeron_LB_800CH_Clone8	Bergeron_LB_800CH_Clone9
Prupe.2G013200.v2.1	0	0	0	0	1	0	0	0	0	0	0	0
Prupe.2G013300.v2.1	40	25	27	17	20	20	22	20	15	17	12	8
Prupe.2G013400.v2.1	0	4	0	0	6	6	0	0	1	0	0	0
Prupe.2G013500.v2.1	181	256	74	133	98	150	114	34	40	32	289	264
Prupe.2G013600.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G013700.v2.1	503	837	920	1138	1196	1380	231	261	198	113	224	190
Prupe.2G013800.v2.1	20	40	44	58	56	73	24	34	21	17	12	10
Prupe.2G013900.v2.1	11	63	89	82	107	106	45	120	114	41	58	60
Prupe.2G014000.v2.1	41	43	43	67	51	57	43	47	37	80	29	22
Prupe.2G014100.v2.1	2	22	32	21	32	47	15	30	22	10	22	16
Prupe.2G014200.v2.1	0	1	0	0	0	1	0	0	0	0	1	1
Prupe.2G014300.v2.1	1113	2216	3120	2269	2934	3086	972	2470	2352	809	2079	1963
Prupe.2G014400.v2.1	291	415	387	297	315	373	303	281	242	214	261	246
Prupe.2G014500.v2.1	221	408	417	290	349	448	320	302	310	143	403	310
Prupe.2G014600.v2.1	10	21	12	19	21	41	9	26	18	62	48	52
Prupe.2G014700.v2.1	586	1125	977	1306	1451	1957	681	1497	1083	519	1933	2218
Prupe.2G014800.v2.1	1	4	3	4	0	1	0	1	2	10	4	6
Prupe.2G014900.v2.1	338	753	697	474	639	963	292	571	482	187	616	616
Prupe.2G015000.v2.1	315	521	501	302	472	567	336	582	411	273	483	545
Prupe.2G015100.v2.1	37	88	82	57	93	120	51	81	58	11	79	91
Prupe.2G015200.v2.1	0	0	0	0	0	0	0	0	0	1	0	0
Prupe.2G015300.v2.1	263	363	356	238	266	326	282	284	235	126	212	261
Prupe.2G015400.v2.1	72	68	64	83	92	104	30	57	44	53	95	124
Prupe.2G015500.v2.1	0	2	0	1	2	2	0	0	0	0	0	0
Prupe.2G015600.v2.1	1	1	0	0	0	0	0	0	0	0	1	0
Prupe.2G015700.v2.1	0	0	0	2	0	0	0	0	0	0	0	1
Prupe.2G015800.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G015900.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G016000.v2.1	0	1	0	0	0	0	0	0	0	0	1	3
Prupe.2G016100.v2.1	39	59	41	33	34	58	37	43	44	16	34	58
Prupe.2G016200.v2.1	0	1	0	1	0	1	8	5	9	0	9	8
Prupe.2G016300.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G016400.v2.1	0	0	0	1	0	0	0	0	0	0	0	0
Prupe.2G016500.v2.1	0	0	0	0	0	0	0	0	1	0	1	0
Prupe.2G016600.v2.1	490	913	807	581	735	839	564	654	509	298	586	594
Prupe.2G016700.v2.1	0	1	0	0	3	0	1	1	0	0	1	1
Prupe.2G016800.v2.1	3	14	11	20	28	25	3	7	5	6	14	9
Prupe.2G016900.v2.1	9	26	10	4	10	6	3	8	5	2	5	8
Prupe.2G017000.v2.1	0	1	0	0	0	0	0	0	0	0	0	0
Prupe.2G017100.v2.1	554	744	684	632	632	774	398	504	402	300	434	482
Prupe.2G017200.v2.1	40	135	97	80	101	95	76	124	135	61	231	204
Prupe.2G017300.v2.1	2101	2615	2470	3013	3216	3054	2489	2438	2181	2529	3298	2715
Prupe.2G017400.v2.1	1	20	17	15	20	22	20	19	22	7	21	15
Prupe.2G017500.v2.1	361	375	549	634	769	924	182	177	143	90	578	668
Prupe.2G017600.v2.1	2	0	1	0	0	0	0	0	1	2	0	0
Prupe.2G017700.v2.1	125	216	263	168	214	205	174	219	246	145	350	276
Prupe.2G017800.v2.1	1044	2499	2547	4587	5362	6702	1483	2895	2018	505	2108	2118
Prupe.2G017900.v2.1	2	2	1	4	1	2	1	0	2	1	0	0
Prupe.2G018000.v2.1	0	0	0	2	0	0	2	6	6	1	7	6
Prupe.2G018100.v2.1	2	3	1	1	0	0	3	5	3	0	2	2
Prupe.2G018200.v2.1	22	57	79	130	101	132	8	14	25	2	10	13
Prupe.2G018300.v2.1	60	176	526	1074	1372	1298	294	905	1352	406	2421	1690
Prupe.2G018400.v2.1	107	97	107	147	115	129	64	82	66	48	60	61
Prupe.2G018500.v2.1	151	119	143	182	245	214	75	49	56	51	147	192
Prupe.2G018600.v2.1	0	0	0	0	0	0	0	0	1	0	2	0
Prupe.2G018700.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G018800.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G018900.v2.1	0	0	0	1	2	0	0	0	0	1	0	0
Prupe.2G019000.v2.1	0	0	0	0	0	0	0	0	0	1	0	1
Prupe.2G019100.v2.1	10	8	8	6	6	2	6	22	8	3	12	11
Prupe.2G019200.v2.1	1254	2494	2254	2098	2583	3482	1049	1644	1284	522	1754	2118
Prupe.2G019300.v2.1	53	92	82	57	61	60	70	77	63	19	34	38
Prupe.2G019400.v2.1	413	229	78	292	132	155	375	298	197	500	136	120
Prupe.2G019500.v2.1	133	297	281	910	807	810	384	504	551	851	725	761
Prupe.2G019600.v2.1	11	18	19	24	11	15	20	18	20	4	4	3
Prupe.2G019700.v2.1	0	0	4	1	1	0	0	2	1	0	0	0
Prupe.2G019800.v2.1	96	238	185	905	931	900	218	346	323	374	1136	1299
Prupe.2G019900.v2.1	137	209	175	175	163	222	119	192	114	74	115	142
Prupe.2G020000.v2.1	0	0	0	0	0	0	1	0	0	0	1	0
Prupe.2G020100.v2.1	223	462	808	767	691	637	335	326	561	89	632	499
Prupe.2G020200.v2.1	367	520	502	532	502	628	349	597	370	184	295	446
Prupe.2G020300.v2.1	361	644	757	804	980	1027	514	780	643	483	1017	1042
Prupe.2G020400.v2.1	1364	2183	2628	2367	2658	3196	1321	2054	2127	1058	2513	2277
Prupe.2G020500.v2.1	624	919	870	597	610	780	621	662	546	226	316	329
Prupe.2G020600.v2.1	188	286	260	160	167	238	125	183	124	34	59	81
Prupe.2G020700.v2.1	12	30	20	25	64	48	17	25	32	24	113	136
Prupe.2G020800.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G020900.v2.1	15	17	14	11	14	12	5	6	11	6	2	4
Prupe.2G021000.v2.1	43	38	26	123	109	140	54	60	56	118	228	269
Prupe.2G021100.v2.1	5	4	6	5	4	5	0	2	6	3	8	9
Prupe.2G021200.v2.1	0	0	1	0	1	2	0	0	1	0	0	1
Prupe.2G021300.v2.1	2	0	0	0	0	2	0	1	0	0	8	25
Prupe.2G021400.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G021500.v2.1	9	14	15	23	30	46	8	10	9	36	39	38
Prupe.2G021600.v2.1	420	612	580	485	599	656	354	573	468	339	595	782
Prupe.2G021700.v2.1	2	2	3	2	4	1	1	2	0	1	1	3
Prupe.2G021800.v2.1	248	325	263	168	181	226	213	355	237	143	251	323
Prupe.2G021900.v2.1	102	204	133	148	127	183	94	117	71	43	81	158
Prupe.2G022000.v2.1	738	1052	1172	950	1051	1242	742	793	669	272	422	418
Prupe.2G022100.v2.1	523	744	592	548	580	695	531	714	578	328	781	1100
Prupe.2G022200.v2.1	4	7	3	8	4	9	13	12	6	10	24	17
Prupe.2G022300.v2.1	333	427	383	604	536	637	249	310	296	312	410	550
Prupe.2G022400.v2.1	131	174	213	145	159	157	109	143	217	60	176	169
Prupe.2G022500.v2.1	124	204	234	129	166	139	126	120	135	77	155	144
Prupe.2G022600.v2.1	8	7	2	1	6	6	3	1	2	0	3	0
Prupe.2G022700.v2.1	22	14	18	2	8	3	28	8	19	1	2	1
Prupe.2G022800.v2.1	37	16	15	32	23	29	19	9	11	17	14	15
Prupe.2G022900.v2.1	117	121	163	95	117	106	108	121	123	53	92	101
Prupe.2G023000.v2.1	105	218	204	160	197	275	93	177	111	36	111	122
Prupe.2G023100.v2.1	37	113	102	36	50	85	108	111	88	19	118	142
Prupe.2G023200.v2.1	1367	3221	1642	3321	3702	3697	4949	5558	3918	4884	4396	4719
Prupe.2G023300.v2.1	209	456	469	224	301	338	232	282	294	151	373	397
Prupe.2G023400.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G023500.v2.1	133	239	309	215	243	266	124	294	322	80	303	243
Prupe.2G023600.v2.1	219	379	492	328	358	383	326	526	609	150	538	527
Prupe.2G023700.v2.1	2	4	1	8	14	7	10	18	6	63	58	69
Prupe.2G023800.v2.1	0	0	0	2	3	3	0	2	2	13	4	7
Prupe.2G023900.v2.1	2	0	0	4	6	2	6	8	4	34	24	42
Prupe.2G024000.v2.1	219	270	275	197	192	268	228	297	209	158	241	280
Prupe.2G024100.v2.1	2	9	3	3	4	6	0	4	5	0	0	2
Prupe.2G024200.v2.1	1096	1135	1021	1411	1100	1288	1055	880	841	845	923	996
Prupe.2G024300.v2.1	189	291	233	265	259	368	243	200	149	503	545	602
Prupe.2G024400.v2.1	210	318	328	171	240	290	143	218	176	56	107	151
Prupe.2G024500.v2.1	0	1	1	0	0	0	0	1	0	2	0	2
Prupe.2G024600.v2.1	1888	2788	2949	2660	3119	3418	1907	2826	2452	1223	2483	2455
Prupe.2G024700.v2.1	87	99	104	57	95	111	71	101	77	65	90	117
Prupe.2G024800.v2.1	9	12	11	12	5	8	2	0	2	1	2	1
Prupe.2G024900.v2.1	13	14	19	44	34	34	5	9	15	5	7	14
Prupe.2G025000.v2.1	117	169	162	199	179	191	132	175	127	123	204	225
Prupe.2G025100.v2.1	356	566	528	462	529	518	347	580	528	1437	2076	1997
Prupe.2G025200.v2.1	253	433	584	447	596	614	36	73	74	20	148	152
Prupe.2G025300.v2.1	2	0	0	0	0	0	1	0	1	2	0	1
Prupe.2G025400.v2.1	133	215	315	272	365	324	17	42	41	29	88	63
Prupe.2G025500.v2.1	0	2	7	2	1	2	0	2	2	2	1	1
Prupe.2G025600.v2.1	2	6	8	3	5	1	6	5	9	7	6	5
Prupe.2G025700.v2.1	21	60	97	48	53	43	90	81	75	50	135	93
Prupe.2G025800.v2.1	210	220	199	216	183	249	181	179	152	200	227	211
Prupe.2G025900.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G026000.v2.1	2655	3131	2265	2666	2894	3417	1968	3432	2153	1589	2303	2896
Prupe.2G026100.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G026200.v2.1	12	21	29	28	24	31	13	6	9	16	36	30
Prupe.2G026300.v2.1	1	0	0	0	0	1	0	0	0	0	0	1
Prupe.2G026400.v2.1	380	531	497	468	474	587	362	409	372	263	379	383
Prupe.2G026500.v2.1	451	800	1679	953	1099	938	485	661	1185	253	749	666
Prupe.2G026600.v2.1	9	21	22	22	19	36	17	18	27	5	13	14
Prupe.2G026700.v2.1	174	257	362	249	316	365	121	195	183	665	233	263
Prupe.2G026800.v2.1	514	684	618	519	551	664	412	504	326	240	170	162
Prupe.2G026900.v2.1	241	250	250	196	215	245	194	210	162	154	149	143
Prupe.2G027000.v2.1	509	664	577	405	450	583	195	240	164	59	102	106
Prupe.2G027100.v2.1	53	126	88	81	108	141	23	79	46	18	71	93
Prupe.2G027200.v2.1	253	567	766	607	879	836	88	196	169	93	314	331
Prupe.2G027300.v2.1	0	3	2	4	7	5	2	4	2	1	5	3
Prupe.2G027400.v2.1	1	0	0	0	0	0	0	0	0	0	1	0
Prupe.2G027500.v2.1	0	0	0	0	0	1	0	0	0	1	1	2
Prupe.2G027600.v2.1	386	735	733	478	670	780	386	754	600	263	646	772
Prupe.2G027700.v2.1	1204	2055	1864	1046	1428	1689	1664	2365	2078	554	1560	1330
Prupe.2G027800.v2.1	0	0	0	0	0	0	0	0	0	0	3	1
Prupe.2G027900.v2.1	11	8	12	18	15	19	2	6	3	7	16	41
Prupe.2G028000.v2.1	32	30	59	66	67	90	49	66	67	71	193	124
Prupe.2G028100.v2.1	3	0	1	1	0	1	0	0	0	0	2	0
Prupe.2G028200.v2.1	235	354	407	279	331	412	337	681	412	288	428	398
Prupe.2G028300.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G028400.v2.1	279	397	394	261	344	397	340	356	277	188	237	239
Prupe.2G028500.v2.1	94	172	161	71	108	144	96	119	98	23	76	64
Prupe.2G028600.v2.1	0	1	0	7	5	1	7	0	1	12	35	60
Prupe.2G028700.v2.1	59	77	65	57	69	93	52	66	48	67	50	39
Prupe.2G028800.v2.1	0	0	0	0	1	0	0	0	0	0	0	1
Prupe.2G028900.v2.1	0	0	0	4	3	4	1	0	0	3	19	43
Prupe.2G029000.v2.1	0	0	0	0	0	0	0	0	0	0	1	0
Prupe.2G029100.v2.1	0	0	0	0	0	1	0	0	0	0	1	0
Prupe.2G029200.v2.1	73	126	185	177	193	175	35	53	41	47	82	84
Prupe.2G029300.v2.1	116	247	345	305	321	345	14	14	24	18	56	58
Prupe.2G029400.v2.1	114	177	135	128	133	199	142	203	134	142	146	191
Prupe.2G029500.v2.1	420	388	338	633	579	674	394	498	298	1074	639	888
Prupe.2G029600.v2.1	0	0	0	1	0	0	0	0	0	2	6	14
Prupe.2G029700.v2.1	1	0	0	0	0	0	0	0	1	0	15	61
Prupe.2G029800.v2.1	233	301	289	274	263	333	213	284	239	113	173	214
Prupe.2G029900.v2.1	138	185	148	161	201	260	138	208	121	142	153	181
Prupe.2G030000.v2.1	0	3	5	0	0	2	0	0	0	0	0	0
Prupe.2G030100.v2.1	1181	2186	2101	1222	1673	2002	782	1099	809	251	652	635
Prupe.2G030200.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G030300.v2.1	588	1010	1091	671	800	977	475	698	616	163	354	380
Prupe.2G030400.v2.1	344	442	394	388	367	448	392	315	326	114	172	225
Prupe.2G030500.v2.1	128	181	144	87	110	167	140	112	92	27	61	37
Prupe.2G030600.v2.1	85	133	149	154	169	205	149	183	170	142	180	218
Prupe.2G030700.v2.1	17	36	35	7	20	24	34	38	30	14	20	27
Prupe.2G030800.v2.1	108	110	65	45	11	21	134	84	92	4	8	26
Prupe.2G030900.v2.1	548	229	144	187	85	101	973	568	266	97	53	138
Prupe.2G031000.v2.1	2288	1254	871	926	491	498	5003	3542	1812	413	321	793
Prupe.2G031100.v2.1	57	111	193	198	236	203	117	164	244	177	409	314
Prupe.2G031200.v2.1	202	345	527	486	577	559	319	458	673	382	1023	795
Prupe.2G031300.v2.1	1	2	0	3	3	0	0	2	1	3	4	1
Prupe.2G031400.v2.1	7	1	5	10	10	3	6	3	1	91	57	59
Prupe.2G031500.v2.1	59	140	172	77	109	115	130	278	143	50	123	129
Prupe.2G031600.v2.1	3	5	1	3	0	1	0	2	2	0	1	0
Prupe.2G031700.v2.1	69	157	143	154	196	254	81	103	63	57	223	298
Prupe.2G031800.v2.1	0	1	0	16	10	12	0	0	1	0	25	54
Prupe.2G031900.v2.1	37	60	77	33	42	59	25	73	63	8	29	70
Prupe.2G032000.v2.1	714	1082	1038	880	913	982	702	870	889	332	545	601
Prupe.2G032100.v2.1	105	195	225	97	175	206	33	33	39	7	4	4
Prupe.2G032200.v2.1	337	683	572	332	478	642	291	533	417	242	535	542
Prupe.2G032300.v2.1	367	595	625	495	556	605	355	506	465	297	394	472
Prupe.2G032400.v2.1	0	2	2	0	0	0	0	3	0	0	0	0
Prupe.2G032500.v2.1	153	277	386	556	621	703	197	388	521	262	602	665
Prupe.2G032600.v2.1	468	639	588	728	739	996	365	441	413	281	456	483
Prupe.2G032700.v2.1	88	161	164	206	235	291	198	293	212	172	406	364
Prupe.2G032800.v2.1	0	1	1	0	0	2	0	0	1	0	1	0
Prupe.2G032900.v2.1	0	0	1	0	0	0	0	0	0	0	0	0
Prupe.2G033000.v2.1	1	0	0	0	0	1	0	0	0	2	0	1
Prupe.2G033100.v2.1	0	0	2	0	0	4	20	20	17	9	24	15
Prupe.2G033200.v2.1	514	1001	851	691	875	1051	636	954	798	488	900	921
Prupe.2G033300.v2.1	17	30	61	124	122	88	37	41	65	30	119	63
Prupe.2G033400.v2.1	42	82	155	335	315	222	75	85	203	78	254	154
Prupe.2G033500.v2.1	0	0	0	0	0	0	1	0	0	0	0	0
Prupe.2G033600.v2.1	284	498	677	3773	1556	1553	572	811	1295	952	1628	1444
Prupe.2G033700.v2.1	1845	3061	3853	14466	8377	7247	2747	3698	6405	5724	7538	6990
Prupe.2G033800.v2.1	17	24	20	28	57	49	11	26	41	12	45	59
Prupe.2G033900.v2.1	52	87	85	191	198	280	54	134	144	76	278	300
Prupe.2G034000.v2.1	84	236	231	139	202	291	111	170	117	42	105	116
Prupe.2G034100.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G034200.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G034300.v2.1	632	740	619	549	562	619	457	502	416	268	392	374
Prupe.2G034400.v2.1	10	10	17	8	14	13	14	19	3	5	27	19
Prupe.2G034500.v2.1	289	576	676	495	638	764	380	642	485	311	536	528
Prupe.2G034600.v2.1	354	465	462	449	449	619	247	316	253	89	266	268
Prupe.2G034700.v2.1	97	161	239	480	451	581	252	231	454	509	688	607
Prupe.2G034800.v2.1	0	0	0	0	0	0	0	0	0	1	1	1
Prupe.2G034900.v2.1	36	50	45	32	35	37	49	40	37	29	20	28
Prupe.2G035000.v2.1	0	0	0	0	0	0	0	0	0	2	1	3
Prupe.2G035100.v2.1	7	5	1	0	3	3	2	3	3	1	2	18
Prupe.2G035200.v2.1	422	862	578	392	480	539	411	766	558	242	615	553
Prupe.2G035300.v2.1	0	0	0	0	1	2	1	1	1	0	0	0
Prupe.2G035400.v2.1	8	8	1	1	1	0	1	0	1	2	55	41
Prupe.2G035500.v2.1	550	858	935	1116	1183	1373	400	582	446	260	550	492
Prupe.2G035600.v2.1	87	178	204	188	223	277	101	171	123	47	194	165
Prupe.2G035700.v2.1	95	114	91	147	132	169	56	66	48	43	65	86
Prupe.2G035800.v2.1	428	829	777	852	1044	1221	530	794	646	356	928	1070
Prupe.2G035900.v2.1	323	452	437	464	467	588	275	303	267	157	341	428
Prupe.2G036000.v2.1	0	0	0	0	0	0	0	0	0	0	0	2
Prupe.2G036100.v2.1	285	427	545	532	672	760	329	526	515	184	435	462
Prupe.2G036200.v2.1	140	340	300	174	261	337	165	201	191	91	198	218
Prupe.2G036300.v2.1	175	302	310	181	213	269	193	279	201	95	188	208
Prupe.2G036400.v2.1	0	2	0	3	0	1	0	0	0	0	0	1
Prupe.2G036500.v2.1	85	111	130	223	217	265	89	115	93	99	159	180
Prupe.2G036600.v2.1	48	78	69	40	63	82	49	88	48	16	37	31
Prupe.2G036700.v2.1	30	38	66	27	48	57	51	84	81	52	54	52
Prupe.2G036800.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G036900.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G037000.v2.1	12	33	25	20	35	31	13	15	20	5	11	14
Prupe.2G037100.v2.1	4	3	6	6	3	2	2	0	3	3	4	3
Prupe.2G037200.v2.1	127	287	296	92	164	161	171	316	285	113	266	270
Prupe.2G037300.v2.1	23	38	41	15	34	40	28	37	28	18	19	22
Prupe.2G037400.v2.1	55	72	87	40	67	65	45	47	58	10	32	38
Prupe.2G037500.v2.1	134	182	190	149	167	182	145	141	105	19	68	56
Prupe.2G037600.v2.1	904	1679	1615	913	1517	1887	716	1120	1036	384	1358	1656
Prupe.2G037700.v2.1	3	9	7	3	9	8	10	9	5	2	5	6
Prupe.2G037800.v2.1	52	86	201	155	183	157	109	247	201	103	258	216
Prupe.2G037900.v2.1	173	309	310	218	278	328	139	257	178	86	296	283
Prupe.2G038000.v2.1	0	4	3	4	6	7	7	13	15	9	33	57
Prupe.2G038100.v2.1	2	2	2	15	16	18	1	2	2	3	5	10
Prupe.2G038200.v2.1	2	1	1	2	5	14	1	2	1	4	1	6
Prupe.2G038300.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G038400.v2.1	30	36	40	50	46	82	17	10	14	14	49	66
Prupe.2G038500.v2.1	107	256	283	233	328	377	185	271	222	188	377	466
Prupe.2G038600.v2.1	692	1260	1673	659	828	898	713	1033	947	166	330	394
Prupe.2G038700.v2.1	445	935	1346	833	1033	952	577	1136	1445	294	661	635
Prupe.2G038800.v2.1	476	726	718	1115	1080	1526	716	1722	949	293	862	2431
Prupe.2G038900.v2.1	254	234	155	283	229	269	255	204	191	527	305	375
Prupe.2G039000.v2.1	437	355	263	304	246	406	313	306	180	326	162	292
Prupe.2G039100.v2.1	4	10	12	10	7	15	39	39	30	14	15	17
Prupe.2G039200.v2.1	100	179	168	135	170	261	131	187	147	59	139	203
Prupe.2G039300.v2.1	8	5	14	39	151	172	11	7	21	60	656	411
Prupe.2G039400.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G039500.v2.1	1	0	1	0	1	0	0	0	0	0	0	0
Prupe.2G039600.v2.1	81	95	100	95	131	220	20	47	26	12	29	45
Prupe.2G039700.v2.1	1	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G039800.v2.1	156	268	273	277	371	487	52	111	92	15	59	117
Prupe.2G039900.v2.1	123	257	274	219	299	362	33	103	68	8	53	75
Prupe.2G040000.v2.1	80	99	93	187	192	204	28	47	36	41	101	120
Prupe.2G040100.v2.1	215	327	371	331	355	426	257	322	280	86	225	303
Prupe.2G040200.v2.1	70	125	110	76	111	118	73	97	52	31	64	64
Prupe.2G040300.v2.1	24	47	50	21	37	54	44	59	49	21	41	33
Prupe.2G040400.v2.1	30	88	108	60	93	133	77	116	82	30	69	79
Prupe.2G040500.v2.1	27	91	87	50	67	80	160	257	160	78	175	200
Prupe.2G040600.v2.1	5	10	14	10	14	19	20	51	36	15	41	39
Prupe.2G040700.v2.1	7	27	25	17	20	25	41	56	43	36	68	40
Prupe.2G040800.v2.1	2184	3233	3316	2894	3238	3436	2423	3119	2627	1827	2691	2541
Prupe.2G040900.v2.1	0	0	0	0	0	0	0	0	0	0	0	1
Prupe.2G041000.v2.1	122	193	169	100	108	159	90	145	65	71	71	80
Prupe.2G041100.v2.1	131	293	297	185	207	291	140	253	198	86	105	85
Prupe.2G041200.v2.1	0	14	12	12	26	15	49	19	27	82	121	113
Prupe.2G041300.v2.1	148	380	423	393	503	535	196	445	378	218	694	624
Prupe.2G041400.v2.1	30	54	81	48	77	62	30	53	50	28	120	67
Prupe.2G041500.v2.1	427	696	599	867	833	999	409	678	571	464	878	1168
Prupe.2G041600.v2.1	0	0	0	0	0	0	0	0	0	0	1	1
Prupe.2G041700.v2.1	0	0	0	0	0	0	0	0	0	3	1	0
Prupe.2G041800.v2.1	2	0	1	7	0	0	0	0	0	0	2	0
Prupe.2G041900.v2.1	222	534	485	314	466	629	263	453	357	113	457	554
Prupe.2G042000.v2.1	0	0	0	0	0	2	0	1	2	1	0	0
Prupe.2G042100.v2.1	672	1194	1273	1239	1472	1749	742	1199	936	491	1225	1229
Prupe.2G042200.v2.1	0	1	0	0	1	0	1	1	0	0	0	0
Prupe.2G042300.v2.1	115	43	1	68	89	39	48	12	6	176	14	9
Prupe.2G042400.v2.1	470	861	900	483	629	750	606	775	548	223	443	399
Prupe.2G042500.v2.1	87	151	122	106	111	112	109	157	127	106	110	87
Prupe.2G042600.v2.1	273	653	677	293	459	619	275	489	379	70	176	252
Prupe.2G042700.v2.1	1465	2719	2676	1938	2420	2868	1673	2656	2160	1430	2818	3118
Prupe.2G042800.v2.1	651	1107	993	736	938	1238	590	901	562	147	550	520
Prupe.2G042900.v2.1	849	1357	1274	1059	1182	1379	959	1214	1028	794	1401	1383
Prupe.2G043000.v2.1	0	0	1	0	0	1	0	0	1	0	0	1
Prupe.2G043100.v2.1	2	4	2	3	6	1	6	4	4	3	4	0
Prupe.2G043200.v2.1	59	97	81	60	72	82	52	106	65	22	52	52
Prupe.2G043300.v2.1	231	371	364	177	214	265	216	214	209	68	142	175
Prupe.2G043400.v2.1	22	31	31	22	37	43	11	29	26	4	20	18
Prupe.2G043500.v2.1	9	16	25	16	28	16	17	25	19	6	15	17
Prupe.2G043600.v2.1	554	1047	568	736	675	1090	754	706	459	300	527	357
Prupe.2G043700.v2.1	0	0	0	0	0	0	0	0	0	0	0	2
Prupe.2G043800.v2.1	16	24	29	7	10	4	8	27	34	3	219	149
Prupe.2G043900.v2.1	17	21	14	62	84	116	111	65	66	228	663	748
Prupe.2G044000.v2.1	60	79	100	69	87	120	67	92	79	44	115	137
Prupe.2G044100.v2.1	404	728	765	664	783	885	639	852	693	468	905	896
Prupe.2G044200.v2.1	143	257	226	138	180	250	90	203	107	32	181	313
Prupe.2G044300.v2.1	0	0	0	2	1	0	0	2	0	0	1	7
Prupe.2G044400.v2.1	4	6	4	22	17	17	10	21	15	26	36	38
Prupe.2G044500.v2.1	280	446	429	304	341	456	79	80	56	70	120	55
Prupe.2G044600.v2.1	2	0	0	2	1	0	2	0	0	0	0	2
Prupe.2G044700.v2.1	0	1	1	0	0	0	0	0	0	1	2	0
Prupe.2G044800.v2.1	92	250	207	638	824	754	325	475	509	886	3603	3367
Prupe.2G044900.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G045000.v2.1	180	643	2043	5308	5024	3848	1323	2119	5293	2750	11185	10721
Prupe.2G045100.v2.1	0	2	1	1	0	0	0	0	1	0	0	0
Prupe.2G045200.v2.1	4	4	15	9	12	24	6	6	6	5	10	9
Prupe.2G045300.v2.1	18	110	74	236	262	338	84	116	142	114	636	1077
Prupe.2G045400.v2.1	0	0	0	0	0	0	2	3	1	8	0	3
Prupe.2G045500.v2.1	569	778	699	256	256	486	203	390	254	241	76	169
Prupe.2G045600.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.2G045700.v2.1	81	83	108	103	107	144	43	46	35	15	51	57
Prupe.2G045800.v2.1	544	694	618	667	636	694	589	687	586	676	772	972
Prupe.2G045900.v2.1	265	817	852	547	804	960	524	954	856	504	768	643
Prupe.2G046000.v2.1	30	68	193	187	212	158	59	108	192	41	233	101
Prupe.2G046100.v2.1	76	102	321	234	245	167	112	163	270	68	306	256
Prupe.2G046200.v2.1	0	0	0	0	0	0	0	1	0	0	0	0
Prupe.2G046300.v2.1	23	40	68	100	75	72	56	89	145	50	138	93
Prupe.2G046400.v2.1	72	156	431	389	421	368	130	242	399	83	476	282
Prupe.2G046500.v2.1	5	1	9	7	17	10	17	23	24	7	29	29
Prupe.2G046600.v2.1	256	253	195	93	73	74	123	132	114	29	106	63
Prupe.2G046700.v2.1	35	65	230	175	196	171	79	161	280	66	305	187
Prupe.2G046800.v2.1	16	40	131	69	109	92	58	62	121	51	122	105
Prupe.2G046900.v2.1	112	210	360	340	364	361	149	221	395	92	449	266
Prupe.2G047000.v2.1	6	11	25	16	24	17	18	26	27	17	52	28
Prupe.2G047100.v2.1	4085	7586	7321	1548	2112	2592	3350	6245	5269	720	3270	3435
Prupe.2G047200.v2.1	4	5	2	4	2	3	2	1	2	2	4	5
Prupe.2G047300.v2.1	3089	5055	4286	3745	3868	4111	5375	6577	5675	5232	4819	5643
Prupe.2G047400.v2.1	12	40	48	76	85	74	25	19	45	98	141	132
Prupe.2G047500.v2.1	35	54	78	154	118	78	116	100	228	152	223	175
Prupe.2G047600.v2.1	958	1697	1550	792	1112	1373	864	1266	1020	551	1080	1155
Prupe.2G047700.v2.1	78	90	83	54	44	81	34	39	27	25	17	19
