N_unmapped	5697724	5697724	5697724
N_multimapping	1178343	1178343	1178343
N_noFeature	1258499	13068969	1404947
N_ambiguous	139949	219	14007
Prupe.1G000100.v2.1	291	0	291
Prupe.1G000200.v2.1	7	1	6
Prupe.1G000300.v2.1	475	1	474
Prupe.1G000400.v2.1	1027	78	962
Prupe.1G000500.v2.1	285	4	294
Prupe.1G000600.v2.1	690	4	686
Prupe.1G000700.v2.1	1004	10	994
Prupe.1G000800.v2.1	690	10	680
Prupe.1G000900.v2.1	1	0	1
Prupe.1G001000.v2.1	1441	8	1433
Prupe.1G001100.v2.1	567	4	563
Prupe.1G001200.v2.1	990	9	981
Prupe.1G001300.v2.1	1229	16	1213
Prupe.1G001400.v2.1	1	0	1
Prupe.1G001500.v2.1	0	0	0
Prupe.1G001600.v2.1	15	1	14
Prupe.1G001700.v2.1	3	0	3
Prupe.1G001800.v2.1	353	1	352
Prupe.1G001900.v2.1	0	0	0
Prupe.1G002000.v2.1	0	0	0
Prupe.1G002100.v2.1	252	0	319
Prupe.1G002200.v2.1	9	0	9
Prupe.1G002300.v2.1	364	67	364
Prupe.1G002400.v2.1	361	1	360
Prupe.1G002500.v2.1	1720	9	1711
Prupe.1G002600.v2.1	98	62	36
Prupe.1G002700.v2.1	527	3	524
Prupe.1G002800.v2.1	806	9	797
Prupe.1G002900.v2.1	386	2	384
Prupe.1G003000.v2.1	217	1	216
Prupe.1G003100.v2.1	1362	6	1356
Prupe.1G003200.v2.1	825	3	822
Prupe.1G003300.v2.1	2654	3	2652
Prupe.1G003400.v2.1	7	0	7
Prupe.1G003500.v2.1	6	0	6
Prupe.1G003600.v2.1	245	0	245
Prupe.1G003700.v2.1	0	0	0
Prupe.1G003800.v2.1	2	0	2
Prupe.1G003900.v2.1	296	5	291
Prupe.1G004000.v2.1	156	2	154
Prupe.1G004100.v2.1	3	0	3
Prupe.1G004200.v2.1	15	0	15
Prupe.1G004300.v2.1	0	0	0
Prupe.1G004400.v2.1	798	4	794
Prupe.1G004500.v2.1	843	5	838
Prupe.1G004600.v2.1	28	26	2
Prupe.1G004700.v2.1	922	4	918
Prupe.1G004800.v2.1	3033	32	3001
Prupe.1G004900.v2.1	146	0	146
Prupe.1G005000.v2.1	1771	5	1766
Prupe.1G005100.v2.1	34	0	34
Prupe.1G005200.v2.1	1	1	0
Prupe.1G005300.v2.1	45	1	44
Prupe.1G005400.v2.1	32	0	32
Prupe.1G005500.v2.1	1	0	1
Prupe.1G005600.v2.1	988	4	984
Prupe.1G005700.v2.1	691	3	688
Prupe.1G005800.v2.1	50	1	49
Prupe.1G005900.v2.1	32	0	32
Prupe.1G006000.v2.1	39	0	39
Prupe.1G006100.v2.1	284	1	283
Prupe.1G006200.v2.1	0	0	0
Prupe.1G006300.v2.1	256	2	254
Prupe.1G006400.v2.1	288	0	288
Prupe.1G006500.v2.1	3144	15	3129
Prupe.1G006600.v2.1	13	0	13
Prupe.1G006700.v2.1	4039	13	4026
Prupe.1G006800.v2.1	0	0	0
Prupe.1G006900.v2.1	170	1	169
Prupe.1G007000.v2.1	229	1	228
Prupe.1G007100.v2.1	209	2	207
Prupe.1G007200.v2.1	111	101	10
Prupe.1G007300.v2.1	0	0	0
Prupe.1G007400.v2.1	8	0	8
Prupe.1G007500.v2.1	3	1	3
Prupe.1G007600.v2.1	0	0	0
Prupe.1G007700.v2.1	7	0	7
Prupe.1G007800.v2.1	2	0	2
Prupe.1G007900.v2.1	1	0	1
Prupe.1G008000.v2.1	582	2	580
Prupe.1G008100.v2.1	30	0	30
Prupe.1G008200.v2.1	46	2	47
Prupe.1G008300.v2.1	152	9	146
Prupe.1G008400.v2.1	25	1	24
Prupe.1G008500.v2.1	857	23	834
Prupe.1G008600.v2.1	0	0	0
Prupe.1G008700.v2.1	451	3	448
Prupe.1G008800.v2.1	89	2	87
Prupe.1G008900.v2.1	5	0	5
Prupe.1G009000.v2.1	815	1	814
Prupe.1G009100.v2.1	0	0	0
Prupe.1G009200.v2.1	47	47	0
Prupe.1G009300.v2.1	7	7	0
Prupe.1G009400.v2.1	81	1	80
Prupe.1G009500.v2.1	238	1	237
Prupe.1G009600.v2.1	25	1	24
Prupe.1G009700.v2.1	29	0	29
Prupe.1G009800.v2.1	104	0	104
Prupe.1G009900.v2.1	19	15	4
Prupe.1G010000.v2.1	1	0	1
Prupe.1G010100.v2.1	1	0	1
Prupe.1G010200.v2.1	30	1	29
Prupe.1G010300.v2.1	368	1	367
Prupe.1G010400.v2.1	21590	62	21528
Prupe.1G010500.v2.1	2084	26	2058
Prupe.1G010600.v2.1	229	0	229
Prupe.1G010700.v2.1	163	2	161
Prupe.1G010800.v2.1	69	1	68
Prupe.1G010900.v2.1	92	0	92
Prupe.1G011000.v2.1	26	0	26
Prupe.1G011100.v2.1	75	2	73
Prupe.1G011200.v2.1	5668	45	5623
Prupe.1G011300.v2.1	397	1	396
Prupe.1G011400.v2.1	398	5	393
Prupe.1G011500.v2.1	1365	7	1359
Prupe.1G011600.v2.1	2382	14	2368
Prupe.1G011700.v2.1	173	2	171
Prupe.1G011800.v2.1	424	1	423
Prupe.1G011900.v2.1	0	0	0
Prupe.1G012000.v2.1	1	0	1
Prupe.1G012100.v2.1	48	1	48
Prupe.1G012200.v2.1	2527	12	2515
Prupe.1G012300.v2.1	3	0	3
Prupe.1G012400.v2.1	1	0	1
Prupe.1G012500.v2.1	2	4	0
Prupe.1G012600.v2.1	3	0	3
Prupe.1G012700.v2.1	24	1	23
Prupe.1G012800.v2.1	16	0	16
Prupe.1G012900.v2.1	48	0	48
Prupe.1G013000.v2.1	687	8	679
Prupe.1G013100.v2.1	538	1	537
Prupe.1G013200.v2.1	2270	21	2249
Prupe.1G013300.v2.1	302	71	448
Prupe.1G013400.v2.1	106	147	176
Prupe.1G013500.v2.1	3166	18	3148
Prupe.1G013600.v2.1	357	5	352
Prupe.1G013700.v2.1	9136	59	9077
Prupe.1G013800.v2.1	28	1	27
Prupe.1G013900.v2.1	62	1	61
Prupe.1G014000.v2.1	2217	5	2212
Prupe.1G014100.v2.1	3745	100	3645
Prupe.1G014200.v2.1	3	3	0
Prupe.1G014300.v2.1	676	17	659
Prupe.1G014400.v2.1	90	3	87
Prupe.1G014500.v2.1	11	0	11
Prupe.1G014600.v2.1	7	0	7
Prupe.1G014700.v2.1	5	1	4
Prupe.1G014800.v2.1	0	0	0
Prupe.1G014900.v2.1	216	0	216
Prupe.1G015000.v2.1	5	5	0
Prupe.1G015100.v2.1	70	2	68
Prupe.1G015200.v2.1	0	0	0
Prupe.1G015300.v2.1	1175	3	1172
Prupe.1G015400.v2.1	799	4	797
Prupe.1G015500.v2.1	547	7	541
Prupe.1G015600.v2.1	54	3	52
Prupe.1G015700.v2.1	25	4	21
Prupe.1G015800.v2.1	24	0	24
Prupe.1G015900.v2.1	340	1	339
Prupe.1G016000.v2.1	1515	8	1507
Prupe.1G016100.v2.1	0	0	0
Prupe.1G016200.v2.1	67	0	67
Prupe.1G016300.v2.1	0	0	0
Prupe.1G016400.v2.1	22	6	16
Prupe.1G016500.v2.1	32	1	31
Prupe.1G016600.v2.1	144	1	143
Prupe.1G016700.v2.1	11	0	11
Prupe.1G016800.v2.1	413	8	810
Prupe.1G016900.v2.1	3	404	5
Prupe.1G017000.v2.1	7	0	7
Prupe.1G017100.v2.1	0	0	0
Prupe.1G017200.v2.1	0	181	0
Prupe.1G017300.v2.1	448	2	627
Prupe.1G017400.v2.1	1013	12	1001
Prupe.1G017500.v2.1	0	0	0
Prupe.1G017600.v2.1	0	0	0
Prupe.1G017700.v2.1	0	0	0
Prupe.1G017800.v2.1	1	1	0
Prupe.1G017900.v2.1	0	0	0
Prupe.1G018000.v2.1	0	0	0
Prupe.1G018100.v2.1	0	0	0
Prupe.1G018200.v2.1	207	0	207
Prupe.1G018300.v2.1	128	0	128
Prupe.1G018400.v2.1	121	1	120
Prupe.1G018500.v2.1	171	8	163
Prupe.1G018600.v2.1	90	1	89
Prupe.1G018700.v2.1	77	0	77
Prupe.1G018800.v2.1	25	2	23
Prupe.1G018900.v2.1	996	6	990
Prupe.1G019000.v2.1	277	3	274
Prupe.1G019100.v2.1	366	0	366
Prupe.1G019200.v2.1	2	0	2
Prupe.1G019300.v2.1	0	0	0
Prupe.1G019400.v2.1	4841	41	4800
Prupe.1G019500.v2.1	4610	12	4598
Prupe.1G019600.v2.1	1	0	1
Prupe.1G019700.v2.1	2	0	2
Prupe.1G019800.v2.1	407	2	405
Prupe.1G019900.v2.1	0	0	0
Prupe.1G020000.v2.1	300	0	300
Prupe.1G020100.v2.1	66	0	66
Prupe.1G020200.v2.1	263	2	261
Prupe.1G020300.v2.1	615	3	612
Prupe.1G020400.v2.1	0	0	0
Prupe.1G020500.v2.1	15	0	15
Prupe.1G020600.v2.1	68	2	66
Prupe.1G020700.v2.1	252	0	252
Prupe.1G020800.v2.1	1022	7	1015
Prupe.1G020900.v2.1	557	10	547
Prupe.1G021000.v2.1	236	2	234
Prupe.1G021100.v2.1	7544	54	7490
Prupe.1G021200.v2.1	63	0	63
Prupe.1G021300.v2.1	723	4	719
Prupe.1G021400.v2.1	488	1	487
Prupe.1G021500.v2.1	14	0	14
Prupe.1G021600.v2.1	1326	5	1321
Prupe.1G021700.v2.1	357	1	356
Prupe.1G021800.v2.1	47	0	47
Prupe.1G021900.v2.1	118	0	118
Prupe.1G022000.v2.1	89	1	88
Prupe.1G022100.v2.1	154	1	153
Prupe.1G022200.v2.1	0	0	0
Prupe.1G022300.v2.1	1368	6	1362
Prupe.1G022400.v2.1	834	8	1706
Prupe.1G022500.v2.1	17	875	22
Prupe.1G022600.v2.1	1501	8	1493
Prupe.1G022700.v2.1	15	0	15
Prupe.1G022800.v2.1	5	0	5
Prupe.1G022900.v2.1	2244	11	2233
Prupe.1G023000.v2.1	1768	25	1743
Prupe.1G023100.v2.1	12	0	12
Prupe.1G023200.v2.1	138	0	138
Prupe.1G023300.v2.1	242	1	241
Prupe.1G023400.v2.1	144	1	143
Prupe.1G023500.v2.1	25	0	25
Prupe.1G023600.v2.1	181	0	181
Prupe.1G023700.v2.1	1191	3	1188
Prupe.1G023800.v2.1	3442	55	3387
Prupe.1G023900.v2.1	0	0	0
Prupe.1G024000.v2.1	63	0	69
Prupe.1G024100.v2.1	612	12	606
Prupe.1G024200.v2.1	1201	4	1197
Prupe.1G024300.v2.1	0	0	0
Prupe.1G024400.v2.1	0	0	0
Prupe.1G024500.v2.1	0	0	0
Prupe.1G024600.v2.1	0	0	0
Prupe.1G024700.v2.1	0	0	0
Prupe.1G024800.v2.1	0	0	0
Prupe.1G024900.v2.1	871	38	833
Prupe.1G025000.v2.1	77	4	73
Prupe.1G025100.v2.1	750	1	749
Prupe.1G025200.v2.1	201	2	199
Prupe.1G025300.v2.1	0	0	0
Prupe.1G025400.v2.1	0	0	0
Prupe.1G025500.v2.1	636	1	635
Prupe.1G025600.v2.1	2379	10	2369
Prupe.1G025700.v2.1	627	0	627
Prupe.1G025800.v2.1	448	0	448
Prupe.1G025900.v2.1	1	1	0
Prupe.1G026000.v2.1	0	0	0
Prupe.1G026100.v2.1	10	10	0
Prupe.1G026200.v2.1	0	0	0
Prupe.1G026300.v2.1	0	0	0
Prupe.1G026400.v2.1	1499	17	1482
Prupe.1G026500.v2.1	144	0	144
Prupe.1G026600.v2.1	0	0	0
Prupe.1G026700.v2.1	35	0	35
Prupe.1G026800.v2.1	666	2	664
Prupe.1G026900.v2.1	299	0	299
Prupe.1G027000.v2.1	671	211	460
Prupe.1G027100.v2.1	271	1	270
Prupe.1G027200.v2.1	482	6	476
Prupe.1G027300.v2.1	400	1	399
Prupe.1G027400.v2.1	51	0	51
Prupe.1G027500.v2.1	41	4	37
Prupe.1G027600.v2.1	6	0	6
Prupe.1G027700.v2.1	170	0	170
Prupe.1G027800.v2.1	284	0	284
Prupe.1G027900.v2.1	354	0	354
Prupe.1G028000.v2.1	3	2	1
Prupe.1G028100.v2.1	179	4	175
Prupe.1G028200.v2.1	10	10	0
Prupe.1G028300.v2.1	0	0	0
Prupe.1G028400.v2.1	772	6	766
Prupe.1G028500.v2.1	2202	6	2196
Prupe.1G028600.v2.1	0	0	0
Prupe.1G028700.v2.1	0	0	0
Prupe.1G028800.v2.1	9616	39	9577
Prupe.1G028900.v2.1	0	0	0
Prupe.1G029000.v2.1	0	0	0
Prupe.1G029100.v2.1	0	0	0
Prupe.1G029200.v2.1	4	0	4
Prupe.1G029300.v2.1	0	0	0
Prupe.1G029400.v2.1	0	0	0
Prupe.1G029500.v2.1	0	0	0
Prupe.1G029600.v2.1	9	0	9
Prupe.1G029700.v2.1	0	0	0
Prupe.1G029800.v2.1	0	0	0
Prupe.1G029900.v2.1	3	0	3
Prupe.1G030000.v2.1	653	1	652
Prupe.1G030100.v2.1	11	11	0
Prupe.1G030200.v2.1	314	1	313
Prupe.1G030300.v2.1	1017	12	1005
Prupe.1G030400.v2.1	1	1	0
Prupe.1G030500.v2.1	354	4	350
Prupe.1G030600.v2.1	2260	7	2253
Prupe.1G030700.v2.1	742	4	738
Prupe.1G030800.v2.1	607	4	603
Prupe.1G030900.v2.1	2186	20	2166
Prupe.1G031000.v2.1	3	0	3
Prupe.1G031100.v2.1	663	3	660
Prupe.1G031200.v2.1	0	0	0
Prupe.1G031300.v2.1	4	487	6
Prupe.1G031400.v2.1	1158	11	1636
Prupe.1G031500.v2.1	341	4	337
Prupe.1G031600.v2.1	0	0	0
Prupe.1G031700.v2.1	550	2	548
Prupe.1G031800.v2.1	0	0	0
Prupe.1G031900.v2.1	0	0	0
Prupe.1G032000.v2.1	0	0	0
Prupe.1G032100.v2.1	0	0	0
Prupe.1G032200.v2.1	0	0	0
Prupe.1G032300.v2.1	29	0	29
Prupe.1G032400.v2.1	0	0	0
Prupe.1G032500.v2.1	3	0	3
Prupe.1G032600.v2.1	95	0	95
Prupe.1G032700.v2.1	0	0	0
Prupe.1G032800.v2.1	0	0	0
Prupe.1G032900.v2.1	1	0	1
Prupe.1G033000.v2.1	0	0	0
Prupe.1G033100.v2.1	0	0	0
Prupe.1G033200.v2.1	3696	40	3656
Prupe.1G033300.v2.1	1	1	0
Prupe.1G033400.v2.1	0	0	0
Prupe.1G033500.v2.1	382	3	379
Prupe.1G033600.v2.1	181	4	177
Prupe.1G033700.v2.1	26	0	26
Prupe.1G033800.v2.1	0	0	0
Prupe.1G033900.v2.1	125	3	122
Prupe.1G034000.v2.1	0	0	0
Prupe.1G034100.v2.1	2	0	2
Prupe.1G034200.v2.1	0	0	0
Prupe.1G034300.v2.1	2714	10	2704
Prupe.1G034400.v2.1	0	0	0
Prupe.1G034500.v2.1	125	0	125
Prupe.1G034600.v2.1	282	1	281
Prupe.1G034700.v2.1	661	5	656
Prupe.1G034800.v2.1	96	0	96
Prupe.1G034900.v2.1	274	77	197
Prupe.1G035000.v2.1	356	2	354
Prupe.1G035100.v2.1	793	1	792
Prupe.1G035200.v2.1	1122	4	1118
Prupe.1G035300.v2.1	20	0	20
Prupe.1G035400.v2.1	758	3	755
Prupe.1G035500.v2.1	117	0	117
Prupe.1G035600.v2.1	14	0	14
Prupe.1G035700.v2.1	27	0	27
Prupe.1G035800.v2.1	3	0	3
Prupe.1G035900.v2.1	0	0	0
Prupe.1G036000.v2.1	1	0	1
Prupe.1G036100.v2.1	0	0	0
Prupe.1G036200.v2.1	13	1	12
Prupe.1G036300.v2.1	0	0	0
Prupe.1G036400.v2.1	23	14	9
Prupe.1G036500.v2.1	0	0	0
Prupe.1G036600.v2.1	1	0	1
Prupe.1G036700.v2.1	1	0	1
Prupe.1G036800.v2.1	7	0	7
Prupe.1G036900.v2.1	88	2	86
Prupe.1G037000.v2.1	569	0	569
Prupe.1G037100.v2.1	56	1	55
Prupe.1G037200.v2.1	0	0	0
Prupe.1G037300.v2.1	0	0	0
Prupe.1G037400.v2.1	427	4	423
Prupe.1G037500.v2.1	319	2	317
Prupe.1G037600.v2.1	36	1	35
Prupe.1G037700.v2.1	0	0	0
Prupe.1G037800.v2.1	13	1	12
Prupe.1G037900.v2.1	66	0	66
Prupe.1G038000.v2.1	31735	174	31563
Prupe.1G038100.v2.1	2290	76	2223
Prupe.1G038200.v2.1	231	2	229
Prupe.1G038300.v2.1	0	0	0
Prupe.1G038400.v2.1	0	3	4
Prupe.1G038500.v2.1	898	5	893
Prupe.1G038600.v2.1	177	0	177
Prupe.1G038700.v2.1	61	6	61
Prupe.1G038800.v2.1	162	3	159
Prupe.1G038900.v2.1	1146	4	1147
Prupe.1G039000.v2.1	1126	4	1122
Prupe.1G039100.v2.1	6741	47	6694
Prupe.1G039200.v2.1	23	1	22
Prupe.1G039300.v2.1	4767	23	4822
Prupe.1G039400.v2.1	1	79	0
Prupe.1G039500.v2.1	270	2	269
Prupe.1G039600.v2.1	24	1	23
Prupe.1G039700.v2.1	44	0	44
Prupe.1G039800.v2.1	0	0	0
Prupe.1G039900.v2.1	397	1	396
Prupe.1G040000.v2.1	126	0	126
Prupe.1G040100.v2.1	40	2	40
Prupe.1G040200.v2.1	1415	6	1410
Prupe.1G040300.v2.1	2	0	2
Prupe.1G040400.v2.1	1849	20	1829
Prupe.1G040500.v2.1	1165	5	1160
Prupe.1G040600.v2.1	68	1	67
Prupe.1G040700.v2.1	2148	7	2141
Prupe.1G040800.v2.1	0	0	0
Prupe.1G040900.v2.1	0	0	0
Prupe.1G041000.v2.1	0	0	0
Prupe.1G041100.v2.1	1107	5	1102
Prupe.1G041200.v2.1	7	0	7
Prupe.1G041300.v2.1	7	0	7
Prupe.1G041400.v2.1	145	1	144
Prupe.1G041500.v2.1	3656	36	3620
Prupe.1G041600.v2.1	0	0	0
Prupe.1G041700.v2.1	691	5	686
Prupe.1G041800.v2.1	3	0	3
Prupe.1G041900.v2.1	0	0	0
Prupe.1G042000.v2.1	9	0	9
Prupe.1G042100.v2.1	53	1	52
Prupe.1G042200.v2.1	308	1	307
Prupe.1G042300.v2.1	99	3	96
Prupe.1G042400.v2.1	7	2	7
Prupe.1G042500.v2.1	1	1	1
Prupe.1G042600.v2.1	0	0	0
Prupe.1G042700.v2.1	6	0	6
Prupe.1G042800.v2.1	1	0	1
Prupe.1G042900.v2.1	0	0	0
Prupe.1G043000.v2.1	0	0	0
Prupe.1G043100.v2.1	3	1	2
Prupe.1G043200.v2.1	0	0	0
Prupe.1G043300.v2.1	1	0	1
Prupe.1G043400.v2.1	1	0	1
Prupe.1G043500.v2.1	0	0	0
Prupe.1G043600.v2.1	3	0	3
Prupe.1G043700.v2.1	251	0	251
Prupe.1G043800.v2.1	0	0	0
Prupe.1G043900.v2.1	0	0	0
Prupe.1G044000.v2.1	85	0	150
Prupe.1G044100.v2.1	0	65	0
