N_unmapped	5329747	5329747	5329747
N_multimapping	1222517	1222517	1222517
N_noFeature	1373967	16333626	1575434
N_ambiguous	171158	227	14876
Prupe.1G000100.v2.1	375	0	375
Prupe.1G000200.v2.1	9	1	8
Prupe.1G000300.v2.1	682	2	680
Prupe.1G000400.v2.1	1577	149	1449
Prupe.1G000500.v2.1	703	31	693
Prupe.1G000600.v2.1	800	3	797
Prupe.1G000700.v2.1	1666	26	1640
Prupe.1G000800.v2.1	797	9	788
Prupe.1G000900.v2.1	1	0	1
Prupe.1G001000.v2.1	2085	7	2078
Prupe.1G001100.v2.1	731	5	726
Prupe.1G001200.v2.1	1215	21	1194
Prupe.1G001300.v2.1	1584	24	1560
Prupe.1G001400.v2.1	3	0	3
Prupe.1G001500.v2.1	1	0	1
Prupe.1G001600.v2.1	30	0	30
Prupe.1G001700.v2.1	12	0	12
Prupe.1G001800.v2.1	291	0	291
Prupe.1G001900.v2.1	0	0	0
Prupe.1G002000.v2.1	0	0	0
Prupe.1G002100.v2.1	481	1	558
Prupe.1G002200.v2.1	18	0	18
Prupe.1G002300.v2.1	504	81	501
Prupe.1G002400.v2.1	416	0	416
Prupe.1G002500.v2.1	580	2	578
Prupe.1G002600.v2.1	86	86	0
Prupe.1G002700.v2.1	643	4	639
Prupe.1G002800.v2.1	1434	22	1412
Prupe.1G002900.v2.1	1133	6	1127
Prupe.1G003000.v2.1	1227	9	1218
Prupe.1G003100.v2.1	2215	15	2200
Prupe.1G003200.v2.1	818	6	813
Prupe.1G003300.v2.1	2512	10	2502
Prupe.1G003400.v2.1	23	0	23
Prupe.1G003500.v2.1	37	0	37
Prupe.1G003600.v2.1	415	2	413
Prupe.1G003700.v2.1	0	0	0
Prupe.1G003800.v2.1	0	0	0
Prupe.1G003900.v2.1	429	2	427
Prupe.1G004000.v2.1	164	0	164
Prupe.1G004100.v2.1	51	0	51
Prupe.1G004200.v2.1	36	1	35
Prupe.1G004300.v2.1	1	1	1
Prupe.1G004400.v2.1	852	9	843
Prupe.1G004500.v2.1	917	4	913
Prupe.1G004600.v2.1	41	41	0
Prupe.1G004700.v2.1	935	7	928
Prupe.1G004800.v2.1	1314	12	1302
Prupe.1G004900.v2.1	133	2	131
Prupe.1G005000.v2.1	1989	6	1983
Prupe.1G005100.v2.1	67	0	67
Prupe.1G005200.v2.1	3	3	0
Prupe.1G005300.v2.1	61	2	59
Prupe.1G005400.v2.1	67	0	67
Prupe.1G005500.v2.1	2	0	2
Prupe.1G005600.v2.1	566	2	564
Prupe.1G005700.v2.1	821	5	816
Prupe.1G005800.v2.1	47	0	47
Prupe.1G005900.v2.1	42	0	42
Prupe.1G006000.v2.1	71	1	70
Prupe.1G006100.v2.1	328	3	325
Prupe.1G006200.v2.1	1	1	0
Prupe.1G006300.v2.1	384	7	377
Prupe.1G006400.v2.1	373	0	373
Prupe.1G006500.v2.1	4875	25	4850
Prupe.1G006600.v2.1	29	0	29
Prupe.1G006700.v2.1	6035	31	6004
Prupe.1G006800.v2.1	0	0	0
Prupe.1G006900.v2.1	226	0	226
Prupe.1G007000.v2.1	312	2	310
Prupe.1G007100.v2.1	203	1	202
Prupe.1G007200.v2.1	109	81	28
Prupe.1G007300.v2.1	0	0	0
Prupe.1G007400.v2.1	5	0	5
Prupe.1G007500.v2.1	0	0	0
Prupe.1G007600.v2.1	0	0	0
Prupe.1G007700.v2.1	1	0	1
Prupe.1G007800.v2.1	22	22	0
Prupe.1G007900.v2.1	0	0	0
Prupe.1G008000.v2.1	628	1	627
Prupe.1G008100.v2.1	19	0	19
Prupe.1G008200.v2.1	47	2	47
Prupe.1G008300.v2.1	237	11	228
Prupe.1G008400.v2.1	12	0	12
Prupe.1G008500.v2.1	1898	76	1822
Prupe.1G008600.v2.1	0	0	0
Prupe.1G008700.v2.1	621	4	617
Prupe.1G008800.v2.1	182	4	178
Prupe.1G008900.v2.1	5	0	5
Prupe.1G009000.v2.1	1382	4	1378
Prupe.1G009100.v2.1	0	0	0
Prupe.1G009200.v2.1	37	37	0
Prupe.1G009300.v2.1	7	7	0
Prupe.1G009400.v2.1	68	0	68
Prupe.1G009500.v2.1	281	3	278
Prupe.1G009600.v2.1	30	0	30
Prupe.1G009700.v2.1	26	1	25
Prupe.1G009800.v2.1	188	0	188
Prupe.1G009900.v2.1	7	2	5
Prupe.1G010000.v2.1	5	0	5
Prupe.1G010100.v2.1	0	0	0
