Prupe.1G000100.v2.1	287
Prupe.1G000200.v2.1	3
Prupe.1G000300.v2.1	402
Prupe.1G000400.v2.1	1677
Prupe.1G000500.v2.1	253
Prupe.1G000600.v2.1	632
Prupe.1G000700.v2.1	706
Prupe.1G000800.v2.1	491
Prupe.1G000900.v2.1	2
Prupe.1G001000.v2.1	1423
Prupe.1G001100.v2.1	561
Prupe.1G001200.v2.1	1173
Prupe.1G001300.v2.1	1394
Prupe.1G001400.v2.1	423
Prupe.1G001500.v2.1	0
Prupe.1G001600.v2.1	10
Prupe.1G001700.v2.1	6
Prupe.1G001800.v2.1	159
Prupe.1G001900.v2.1	0
Prupe.1G002000.v2.1	0
Prupe.1G002100.v2.1	273
Prupe.1G002200.v2.1	6
Prupe.1G002300.v2.1	245
Prupe.1G002400.v2.1	227
Prupe.1G002500.v2.1	1581
Prupe.1G002600.v2.1	74
Prupe.1G002700.v2.1	526
Prupe.1G002800.v2.1	1349
Prupe.1G002900.v2.1	1364
Prupe.1G003000.v2.1	250
Prupe.1G003100.v2.1	733
Prupe.1G003200.v2.1	751
Prupe.1G003300.v2.1	3587
Prupe.1G003400.v2.1	10
Prupe.1G003500.v2.1	0
Prupe.1G003600.v2.1	190
Prupe.1G003700.v2.1	0
Prupe.1G003800.v2.1	2
Prupe.1G003900.v2.1	246
Prupe.1G004000.v2.1	72
Prupe.1G004100.v2.1	5
Prupe.1G004200.v2.1	19
Prupe.1G004300.v2.1	2
Prupe.1G004400.v2.1	590
Prupe.1G004500.v2.1	894
Prupe.1G004600.v2.1	19
Prupe.1G004700.v2.1	1333
Prupe.1G004800.v2.1	1230
Prupe.1G004900.v2.1	169
Prupe.1G005000.v2.1	1735
Prupe.1G005100.v2.1	46
Prupe.1G005200.v2.1	0
Prupe.1G005300.v2.1	27
Prupe.1G005400.v2.1	105
Prupe.1G005500.v2.1	3
Prupe.1G005600.v2.1	231
Prupe.1G005700.v2.1	678
Prupe.1G005800.v2.1	19
Prupe.1G005900.v2.1	9
Prupe.1G006000.v2.1	22
Prupe.1G006100.v2.1	276
Prupe.1G006200.v2.1	0
Prupe.1G006300.v2.1	373
Prupe.1G006400.v2.1	478
Prupe.1G006500.v2.1	3224
Prupe.1G006600.v2.1	44
Prupe.1G006700.v2.1	2735
Prupe.1G006800.v2.1	0
Prupe.1G006900.v2.1	98
Prupe.1G007000.v2.1	145
Prupe.1G007100.v2.1	132
Prupe.1G007200.v2.1	85
Prupe.1G007300.v2.1	0
Prupe.1G007400.v2.1	18
Prupe.1G007500.v2.1	8
Prupe.1G007600.v2.1	0
Prupe.1G007700.v2.1	11
Prupe.1G007800.v2.1	7
Prupe.1G007900.v2.1	1
Prupe.1G008000.v2.1	420
Prupe.1G008100.v2.1	21
Prupe.1G008200.v2.1	29
Prupe.1G008300.v2.1	476
Prupe.1G008400.v2.1	34
Prupe.1G008500.v2.1	1510
Prupe.1G008600.v2.1	0
