"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Prupe.1G024200.v2.1",925.491670769682,-0.597595524326045,0.101813043171645,-5.8695379856053,4.37011223941429e-09,8.65370752381256e-08
"Prupe.1G024500.v2.1",3.75077142602417,2.75043915194895,0.962165434556563,2.85859276707083,0.00425524668350009,0.0155999113414029
"Prupe.1G025700.v2.1",882.401050031698,0.927877642671818,0.379319390323592,2.44616454191877,0.0144385089862202,0.0425750906003928
"Prupe.1G025900.v2.1",24.043825944983,2.86306110721966,0.733430421336379,3.90365742124917,9.47498723617118e-05,0.000615216185126392
"Prupe.1G026100.v2.1",56.1047251894643,2.20854869285548,0.724442316174246,3.0486191150715,0.00229895753304289,0.00942774251489079
"Prupe.1G026200.v2.1",5.17391729255105,2.30667149404102,0.89227018694478,2.58517154085277,0.00973305595838487,0.0307236948889799
"Prupe.1G026500.v2.1",123.181339327824,-0.458293162504497,0.164271366494973,-2.78985420455805,0.00527317813277253,0.0185992612342584
"Prupe.1G026700.v2.1",26.8185486136376,-0.806188608064725,0.28674025894304,-2.81156406511048,0.00493012715661171,0.0175711773568918
"Prupe.1G027200.v2.1",406.928582964457,-0.320651758552698,0.111022521433753,-2.88816858428162,0.003874921299936,0.0144745844285433
"Prupe.1G027500.v2.1",17.4035747799405,-1.78881216028867,0.307952914026925,-5.80871970619595,6.29523791877711e-09,1.20658726776561e-07
"Prupe.1G027600.v2.1",10.6507696248639,2.26041386415977,0.539037181144175,4.19342847438048,2.74769740433969e-05,0.000209983058565476
"Prupe.1G027900.v2.1",311.915334152064,-0.389837060132201,0.0855792927900928,-4.55527321414523,5.23175332637539e-06,4.89807815775806e-05
"Prupe.1G028000.v2.1",12.61717050614,3.19934594021224,0.585600877808451,5.46335577942686,4.67216873123955e-08,7.49254202574993e-07
"Prupe.1G028500.v2.1",1278.70294577614,-1.38583094320488,0.279195170973983,-4.96366372803066,6.91756732923852e-07,8.30610192156753e-06
"Prupe.1G029200.v2.1",6.46464037245561,2.45262870932918,0.706805293736138,3.47002028856448,0.000520419052606818,0.0026812677830162
"Prupe.1G030200.v2.1",315.879250328061,0.446245223595007,0.172685620034095,2.5841481387211,0.00976198550453031,0.0307852172045857
"Prupe.1G030300.v2.1",838.065382089485,-0.311752449271893,0.116138909139093,-2.68430667708894,0.00726804032865829,0.0242061649787512
"Prupe.1G030400.v2.1",4.5011430431571,2.44611101415174,0.705027936929216,3.46952352669299,0.000521382402106363,0.00268365930045413
"Prupe.1G030500.v2.1",1327.10997508945,1.52087986107654,0.611028311649786,2.48904974136164,0.0128085044124589,0.0386104411816554
"Prupe.1G030800.v2.1",538.81805437401,0.375577898355627,0.115916918179407,3.24006110802856,0.00119504085996184,0.00547027537111099
"Prupe.1G031400.v2.1",1171.08760242296,0.629913238829676,0.23795158279124,2.64723281703199,0.00811534602954542,0.0264665629914125
"Prupe.1G031500.v2.1",250.559640383708,-0.745845083613119,0.103668596262025,-7.19451319402435,6.26840056791878e-13,2.55791184465073e-11
"Prupe.1G031800.v2.1",2.31883732277568,3.84886179844676,1.29777013590623,2.96575001377967,0.00301945812930467,0.0118060812855813
